specid,family,genus,species,GF
cordsp,Boraginacea,Cordia,spinescens,L
serjpa,Sapindaceae,Serjania,paucidentata,L
escham,Lecythidaceae,Eschweilera,amplexifolia,T
coccma,Polygonaceae,Coccoloba,manzinellensis,T
ficuci,Moraceae,Ficus,citrifolia,T
connla,Connaraceae,Connarus,lambertii,L
rourgl,Connaraceae,Rourea,glabra,L
sponra,Anacardiaceae,Spondias,radlkoferi,T
leandi,Melastomataceae,Leandra,dichotoma,T
ficuny,Moraceae,Ficus,nymphaeifolia,T
chi2al,Rubiaceae,Chiococca,alba,L
chimpa,Rubiaceae,Chimarrhis,parviflora,T
jac1co,Bignoniaceae,Jacaranda,copaia,T
passau,Passifloraceae,Passiflora,auriculata,L
solaja,Solanaceae,Solanum,jamaicense,T
maytsc,Celastraceae,Maytenus,schippii,T
clidoc,Melastomataceae,Clidemia,octona,T
clidde,Melastomataceae,Clidemia,dentata,T
urenlo,Malvaceae,Urena,lobata,T
pipecu,Piperaceae,Piper,colonense,T
cestme,Solanaceae,Cestrum,megalophyllum,T
cisser,Vitaceae,Cissus,erosa,L
gmelar,Lamiaceae,Gmelina,arborea,T
pac1pa,Fabaceae,Pachyrhizus,panamensis,L
cuparu,Sapindaceae,Cupania,rufescens,T
serjme,Sapindaceae,Serjania,mexicana,L
sapiau,Euphorbiaceae,Sapium,glandulosum,T
gouapo,Rhamnaceae,Gouania,polygama,L
loncla,Fabaceae,Lonchocarpus,heptaphyllus,T
mas2ov,Malpighiaceae,Mascagnia,ovatifolia,L
dendar,Araliaceae,Dendropanax,arboreus,T
serjpy,Sapindaceae,Serjania,pyramidata,L
diphro,Fabaceae,Diphysa,americana,T
aegipa,Lamiaceae,Aegiphila,panamensis,T
casegu,Salicaceae,Casearia,guianensis,T
paulfi,Sapindaceae,Paullinia,fibrigera,L
arissp,Aristolochiaceae,Aristolochia,sprucei,L
godmae,Bignoniaceae,Godmania,aesculifolia,T
pipeco,Piperaceae,Piper,cordulatum,T
pipema,Piperaceae,Piper,marginatum,T
syzyja,Myrtaceae,Syzygium,jambos,T
sennba,Fabaceae,Senna,bacillaris,T
machmi,Fabaceae,Machaerium,microphyllum,L
tet3ti,Malpighiaceae,Tetrapterys,tinifolia,L
cordcu,Boraginaceae,Varronia,curassavica,T
cecrob,Urticaceae,Cecropia,obtusifolia,T
psycc1,Rubiaceae,Psychotria,capitata,T
coccex,Polygonaceae,Coccoloba,excelsa,L
crotbi,Euphorbiaceae,Croton,billbergianus,T
psidg1,Myrtaceae,Psidium,guineense,T
citrsi,Rutaceae,Citrus,sinensis,T
hen1fa,Melastomataceae,Henriettella,fascicularis,T
psycb1,Rubiaceae,Psychotria,brachiata,T
lopida,Malvaceae,Pavonia,dasypetala,T
guatam,Annonaceae,Guatteria,amplifolia,T
psycb2,Rubiaceae,Psychotria,gracilenta,T
pipepu,Piperaceae,Piper,pubistipulum,T
pen1ma,Fabaceae,Pentaclethra,macroloba,T
tourgl,Boraginaceae,Tournefortia,glabra,L
anacoc,Anacardiaceae,Anacardium,occidentale,T
psycpo,Rubiaceae,Psychotria,poeppigiana,T
turpoc,Staphyleaceae,Turpinia,occidentalis,T
ery2pa,Erythroxylaceae,Erythroxylum,panamense,T
malogu,Apocynaceae,Malouetia,guatemalensis,T
chr1ec,Clusiaceae,Chrysochlamys,eclipes,T
clidca,Melastomataceae,Clidemia,capitellata,T
bauhgu,Fabaceae,Bauhinia,guianensis,L
neurlo,Asteraceae,Neurolaena,lobata,T
simaam,Simaroubaceae,Simarouba,amara,T
virosp,Myristicaceae,Virola,multiflora,T
heisac,Olacaceae,Heisteria,acuminata,T
rhynpy,Fabaceae,Rhynchosia,pyramidalis,L
dendma,Araliaceae,Dendropanax,maritimus,T
perexa,Moraceae,Perebea,xanthochyma,T
anacex,Anacardiaceae,Anacardium,excelsum,T
clibsu,Asteraceae,Clibadium,surinamense,T
iserha,Rubiaceae,Isertia,haenkeana,T
zuelgu,Salicaceae,Zuelania,guidonia,T
ficuin,Moraceae,Ficus,insipida,T
machsa,Fabaceae,Machaerium,salvadorense,L
tourcu,Boraginaceae,Tournefortia,cuspidata,L
dio1me,Dioscoreaceae,Dioscorea,mexicana,L
luehse,Malvaceae,Luehea,seemannii,T
sennun,Fabaceae,Senna,undulata,L
cyphha,Solanaceae,Solanum,circinatum,T
tab1ro,Bignoniaceae,Tabebuia,rosea,T
banico,Malpighiaceae,Banisteriopsis,cornifolia,L
tet1vo,Dilleniaceae,Tetracera,volubilis,L
aristo,Aristolochiaceae,Aristolochia,tonduzii,L
casear,Salicaceae,Casearia,arborea,T
nectci,Lauraceae,Nectandra,cissiflora,T
tapigu,Anacardiaceae,Tapirira,guianensis,T
smilsu,Smilacaceae,Smilax,subpubescens,L
stizri,Bignoniaceae,Stizophyllum,riparium,L
machpo,Fabaceae,Machaerium,polyphyllum,L
serjtr,Sapindaceae,Serjania,trachygona,L
des1or,Arecaceae,Desmoncus,orthacanthos,L
micoel,Melastomataceae,Miconia,elata,T
ipomph,Convolvulaceae,Ipomoea,philomega,L
oenoma,Arecaceae,Oenocarpus,mapora,P
dich1,Dichapetalaceae,Dichapetalum,NA,L
odo1ma,Apocynaceae,Odontadenia,macrantha,L
ochrpy,Malvaceae,Ochroma,pyramidale,T
psycde,Rubiaceae,Psychotria,deflexa,T
vismsp,Hypericaecae,Vismia,NA,T
quasam,Simaroubaceae,Quassia,amara,T
pipeae,Piperaceae,Piper,aequale,T
tet2pa,Burseraceae,Tetragastris,panamensis,T
synewa,Arecaceae,Synechanthus,warscewiczianus,P
tbi.l,NA,NA,NA,L
phoeci,Lauraceae,Cinnamomum,triplinerve,T
machfl,Fabaceae,Machaerium,floribundum,L
machm2,Fabaceae,Machaerium,milleflorum,L
bactc1,Arecaceae,Bactris,coloniata,P
gustsu,Lecythidaceae,Gustavia,superba,T
micod2,Melastomataceae,Miconia,doniana,T
taline,Sapindaceae,Talisia,nervosa,T
warsco,Rubiaceae,Warszewiczia,coccinea,T
forsac,Apocynaceae,Forsteronia,acouci,L
entagi,Fabaceae,Entada,gigas,L
mikale,Asteraceae,Mikania,leiostachya,L
pipear,Piperaceae,Piper,aristolochiaefolium,L
stigli,Malpighiaceae,Stigmaphyllon,lindenianum,L
mar1la,Calophyllaceae,Marila,laxiflora,T
passme,Passifloraceae,Passiflora,megacoriacea,L
clitja,Fabaceae,Clitoria,javitensis,L
combde,Combretaceae,Combretum,decandrum,L
passvi,Passifloraceae,Passiflora,vitifolia,L
smilfe,Smilacaceae,Smilax,febrifuga,L
byrssp,Malpighiaceae,Byrsonima,spicata,T
sennda,Fabaceae,Senna,dariensis,T
faraoc,Rubiaceae,Faramea,occidentalis,T
pourbi,Urticaceae,Pourouma,bicolor,T
tab1gu,Bignoniaceae,Tabebuia,guayacan,T
pleova,Bignoniaceae,Pleonotoma,variabilis,L
herrpu,Malvaceae,Herrania,purpurea,T
byttac,Malvaceae,Byttneria,aculeata,L
myrilo,Urticaceae,Myriocarpa,longipes,T
unonpa,Annonaceae,Unonopsis,panamensis,T
sympgl,Clusiaceae,Symphonia,globulifera,T
psycac,Rubiaceae,Psychotria,acuminata,T
xyl1ar,Annonaceae,Xylopia,aromatica,T
hirtra,Chrysobalanaceae,Hirtella,racemosa,T
phryco,Bignoniaceae,Bignonia,corymbosa,L
gnetle,Gnetaceae,Gnetum,leyboldii,L
clids1,Melastomataceae,Clidemia,sericea,T
iserla,Rubiaceae,Isertia,laevis,T
petrvo,Verbenaceae,Petrea,volubilis,L
tet3di,Malpighiaceae,Tetrapterys,discolor,L
bellpe,Melastomataceae,Bellucia,pentamera,T
matain,Sapindaceae,Matayba,ingifolia,T
pse2sp,Moraceae,Pseudolmedia,spuria,T
soroaf,Moraceae,Sorocea,affinis,T
ocotpa,Lauraceae,Ocotea,atirrensis,T
ery2ma,Erythroxylaceae,Erythroxylum,macrophyllum,T
tovolo,Clusiaceae,Tovomita,longifolia,T
doliol,Dilleniaceae,Doliocarpus,olivaceus,L
stryto,Loganiaceae,Strychnos,toxifera,L
xyl1ma,Annonaceae,Xylopia,macrantha,T
gar2ma,Clusiaceae,Garcinia,madruno,T
sabivi,Rubiaceae,Sabicea,villosa,L
ficuob,Moraceae,Ficus,obtusifolia,T
hirttr,Chrysobalanaceae,Hirtella,triandra,T
forsmy,Apocynaceae,Forsteronia,myriantha,L
gonzru,Rubiaceae,Gonzalagunia,rudis,T
rinosq,Violaceae,Rinorea,squamata,T
mendli,Acanthaceae,Mendoncia,lindavii,L
tovost,Clusiaceae,Tovomita,stylosa,T
lindla,Achariaceae,Lindackeria,laurina,T
micose,Melastomataceae,Miconia,serrulata,T
bactm1,Arecaceae,Bactris,maraja,P
maquco,Moraceae,Maquira,guianensis,T
abu1dw,Menispermaceae,Abuta,dwyeriana,L
bactc2,Arecaceae,Bactris,coloradonis,P
ingasa,Fabaceae,Inga,sapindoides,T
oxanlo,Annonaceae,Oxandra,longipetala,T
cydiae,Bignoniaceae,Bignonia,aequinoctialis,L
secudi,Polygalaceae,Securidaca,diversifolia,L
vataer,Fabaceae,Vatairea,erythrocarpa,T
machci,Fabaceae,Machaerium,cirrhiferum,L
heisc1,Olacaceae,Heisteria,costaricensis,T
mandvi,Apocynaceae,Mandevilla,villosa,L
mangin,Anacardiaceae,Mangifera,indica,T
smils1,Smilacaceae,Smilax,spinosa,L
paulg2,Sapindaceae,Paullinia,glomerulosa,L
acaldi,Euphorbiaceae,Acalypha,diversifolia,T
posola,Rubiaceae,Posoqueria,latifolia,T
alsebl,Rubiaceae,Alseis,blackiana,T
tremmi,Cannabaceae,Trema,micrantha,T
arrapa,Bignoniaceae,Arrabidaea,patellifera,L
tratas,Burseraceae,Trattinnickia,aspera,T
ormocr,Fabaceae,Ormosia,coccinea,T
couthe,Rubiaceae,Coutarea,hexandra,T
clusro,Clusiaceae,Clusia,rosea,T
diocre,Fabaceae,Dioclea,reflexa,L
peraap,Euphorbiaceae,Pera,aperta,T
pipea4,Piperaceae,Piper,augustum,T
colugl,Rhamnaceae,Colubrina,glandulosa,T
eugeoe,Myrtaceae,Eugenia,oerstediana,T
can2vi,Fabaceae,Canavalia,villosa,L
guraco,Cucurbitaceae,Gurania,coccinea,L
apeime,Malvaceae,Apeiba,membranacea,T
poutf1,Sapotaceae,Pouteria,foveolata,T
zantbe,Rutaceae,Zanthoxylum,ekmanii,T
ingago,Fabaceae,Inga,goldmanii,T
bonatr,Convolvulaceae,Bonamia,trichantha,L
chomps,Rubiaceae,Chomelia,psilocarpa,L
eschca,Lecythidaceae,Eschweilera,calyculata,T
jac2sp,Caricaceae,Jacaratia,spinosa,T
cappfr,Capparaceae,Capparidastrum,frondosum,T
gurama,Cucurbitaceae,Gurania,makoyana,L
cissmi,Vitaceae,Cissus,microcarpa,L
clavco,Primulaceae,Clavija,costaricana,T
arispf,Aristolochiaceae,Aristolochia,pfeiferi,L
aphesi,Acanthaceae,Aphelandra,sinclairiana,T
myrcze,Myrtaceae,Myrcia,tomentosa,T
micrme,Sapotaceae,Micropholis,melinoniana,T
socrex,Arecaceae,Socratea,exorrhiza,P
licahy,Chrysobalanaceae,Licania,hypoleuca,T
strybr,Loganiaceae,Strychnos,brachistantha,L
tet1po,Dilleniaceae,Tetracera,portobellensis,L
heliam,Malvaceae,Heliocarpus,americanus,T
eugeve,Myrtaceae,Eugenia,venezuelensis,T
paulba,Sapindaceae,Paullinia,baileyi,L
macrgl,Rubiaceae,Macrocnemum,roseum,T
heisco,Olacaceae,Heisteria,concinna,T
par3py,Bignoniaceae,Tanaecium,pyramidatum,L
arrach,Bignoniaceae,Arrabidaea,chica,L
psycca,Rubiaceae,Psychotria,calophylla,T
aegice,Lamiaceae,Aegiphila,cephalophora,L
zantse,Rutaceae,Zanthoxylum,setulosum,T
neeaam,Nyctaginaceae,Neea,amplifolia,T
ingama,Fabaceae,Inga,marginata,T
abu1st,Menispermaceae,Abuta,steyermarkii,L
bactba,Arecaceae,Bactris,barronis,P
ardiba,Primulaceae,Ardisia,bartlettii,T
cha1te,Arecaceae,Chamaedorea,tepejilote,P
guazul,Malvaceae,Guazuma,ulmifolia,T
pla1pi,Fabaceae,Platymiscium,dimorphandrum,T
solast,Solanaceae,Solanum,steyermarkii,T
beilpe,Lauraceae,Beilschmiedia,tovarensis,T
des2pa,Annonaceae,Desmopsis,panamensis,T
guetfo,Rubiaceae,Guettarda,foliacea,T
pri1as,Celastraceae,Prionostemma,asperum,L
ingaqu,Fabaceae,Inga,nobilis,T
dilkac,Passifloraceae,Dilkea,acuminata,L
mabeoc,Euphorbiaceae,Mabea,occidentalis,T
ficuam,Moraceae,Ficus,americana,T
gordbr,Theaceae,Gordonia,brenesii,T
forspe,Apocynaceae,Pinochia,peninsularis,L
psycer,Rubiaceae,Ronabea,latifolia,T
paulbr,Sapindaceae,Paullinia,bracteosa,L
ocotle,Lauraceae,Ocotea,leucoxylon,T
liedfi,Apocynaceae,Liedea,filisepala,H
ast1st,Arecaceae,Astrocaryum,standleyanum,P
crospa,Celastraceae,Crossopetalum,parviflorum,T
psycma,Rubiaceae,Psychotria,marginata,T
guarbu,Meliaceae,Guarea,bullata,T
acacme,Fabaceae,Acacia,melanoceras,T
tet4jo,Salicaceae,Tetrathylacium,johansenii,T
ingapo,Fabaceae,Inga,portobellensis,T
micosi,Melastomataceae,Miconia,simplex,T
guargl,Meliaceae,Guarea,glabra,T
pterro,Fabaceae,Pterocarpus,rohrii,T
maclti,Moraceae,Maclura,tinctoria,T
acalma,Euphorbiaceae,Acalypha,macrostachya,T
psycpi,Rubiaceae,Psychotria,cyanococca,T
bertgu,Rubiaceae,Bertiera,guianensis,T
hetela,Malpighiaceae,Heteropterys,laurifolia,L
geniam,Rubiaceae,Genipa,americana,T
vititi,Vitaceae,Vitis,tiliifolia,L
unid26,NA,NA,NA,T
hamepa,Rubiaceae,Hamelia,patens,T
olmeas,Moraceae,Trophis,caucana,T
smil2,Smilacaceae,Smilax,sp.2,L
cym1la,Annonaceae,Cymbopetalum,lanugipetalum,T
ficubr,Moraceae,Ficus,brevibracteata,T
ficuto,Moraceae,Ficus,tonduzii,T
ant2pa,Celastraceae,Anthodon,panamense,L
passam,Passifloraceae,Passiflora,ambigua,L
psycch,Rubiaceae,Psychotria,chagrensis,T
tbi,NA,NA,NA,T
loncfe,Fabaceae,Lonchocarpus,ferrugineus,T
celtsc,Cannabaceae,Celtis,schippii,T
picrla,Picramniaceae,Picramnia,latifolia,T
brosco,Moraceae,Brosimum,costaricanum,T
tachve,Fabaceae,Tachigali,versicolor,T
solasu,Solanaceae,Solanum,subinerme,T
psycp3,Rubiaceae,Psychotria,pilosa,T
serj1,Sapindaceae,Serjania,NA,L
arrave,Bignoniaceae,Arrabidaea,verrucosa,L
ficupo,Moraceae,Ficus,popenoei,T
ipoman,Convolvulaceae,Ipomoea,anisomeres,L
mollpi,Monimiaceae,Mollinedia,viridiflora,T
neeade,Nyctaginaceae,Neea,delicatula,T
vantde,Humiriaceae,Vantanea,depleta,T
peltov,Malvaceae,Peltaea,ovata,T
ormoam,Fabaceae,Ormosia,amazonica,T
tet5go,Euphorbiaceae,Tetrorchidium,robledoanum,T
rourad,Connaraceae,Rourea,adenophora,L
pre2le,Apocynaceae,Prestonia,lenticellata,L
hirare,Malpighiaceae,Hiraea,reclinata,L
cupala,Sapindaceae,Cupania,latifolia,T
ingasp,Fabaceae,Inga,spectabilis,T
lic1gu,Lauraceae,Licaria,guianensis,T
daledi,Euphorbiaceae,Dalechampia,dioscoreifolia,L
erisbl,Vochysiaceae,Erisma,blancoa,T
cecrhi,Urticaceae,Cecropia,hispidissima,T
cheikl,Celastraceae,Cheiloclinium,klugii,L
poutto,Sapotaceae,Pouteria,torta,T
leanme,Melastomataceae,Leandra,mexicana,T
coccco,Polygonaceae,Coccoloba,coronata,T
arrafl,Bignoniaceae,Arrabidaea,florida,L
liana,NA,NA,NA,L
hirtam,Chrysobalanaceae,Hirtella,americana,T
mikaba,Asteraceae,Mikania,banisteriae,L
persam,Lauraceae,Persea,americana,T
stemal,Apocynaceae,Stemmadenia,alfaroi,T
waltgl,Malvaceae,Waltheria,glomerata,T
cestra,Solanaceae,Cestrum,racemosum,T
passni,Passifloraceae,Passiflora,nitida,L
welfre,Arecaceae,Welfia,regia,P
laetpr,Salicaceae,Laetia,procera,T
gouaco,Rhamnaceae,Gouania,colombiana,L
guetra,Rubiaceae,Guettarda,ramuliflora,T
arisma,Aristolochiaceae,Aristolochia,maxima,L
cynacu,Apocynaceae,Metalepis,peraffinis,L
cedrod,Meliaceae,Cedrela,odorata,T
unonst,Annonaceae,Unonopsis,storkii,T
lecyam,Lecythidaceae,Lecythis,ampla,T
ficubu,Moraceae,Ficus,matiziana,T
solala,Solanaceae,Solanum,lanceifolium,L
hirafo,Malpighiaceae,Hiraea,fosteri,L
fab3,Fabaceae,NA,NA,L
stryda,Loganiaceae,Strychnos,darienensis,L
laetth,Salicaceae,Laetia,thamnia,T
lyciac,Solanaceae,Lyciantes,acidochondra,L
protsp,Burseraceae,Protium,confusum,T
schipa,Fabaceae,Schizolobium,parahyba,T
spatca,Bignoniaceae,Spathodea,campanulata,T
ceibpe,Malvaceae,Ceiba,pentandra,T
stema1,Apocynaceae,Stemmadenia,allenii,T
sch1zo,Arecaceae,Attalea,rostrata,P
dis1in,Menispermaceae,Disciphania,inversa,L
stizin,Bignoniaceae,Stizophyllum,inaequilaterum,L
amp3pa,Bignoniaceae,Amphilophium,paniculatum,L
ingaru,Fabaceae,Inga,ruiziana,T
cnempe,Cyatheaceae,Cyathea,petiolata,H
geonin,Arecaceae,Geonoma,interrupta,P
dioc1,Fabaceae:Papil.,Dioclea,sp.1,L
hirasm,Malpighiaceae,Hiraea,smilacina,L
hassfl,Salicaceae,Hasseltia,floribunda,T
ficuma,Moraceae,Ficus,maxima,T
pipere,Piperaceae,Piper,reticulatum,T
unid43,NA,NA,NA,T
flemst,Fabaceae,Flemingia,strobilifera,T
conobr,Melastomataceae,Conostegia,bracteata,T
fab1,Fabaceae,NA,NA,T
pse1se,Malvaceae,Pseudobombax,septenatum,T
maschi,Malpighiaceae,Adelphia,hiraea,L
psycpu,Rubiaceae,Psychotria,pubescens,T
huracr,Euphorbiaceae,Hura,crepitans,T
entecy,Fabaceae,Enterolobium,cyclocarpum,T
cissal,Vitaceae,Cissus,alata,L
pre2me,Apocynaceae,Prestonia,mexicana,L
pipea1,Piperaceae,Piper,arboreum,T
ocotpu,Lauraceae,Ocotea,puberula,T
tourma,Boraginaceae,Tournefortia,maculata,L
poutfo,Sapotaceae,Pouteria,fossicola,T
stylst,Primulaceae,Stylogyne,turbacensis,T
pla2el,Fabaceae,Platypodium,elegans,T
ocotob,Lauraceae,Ocotea,oblonga,T
machpi,Fabaceae,Machaerium,pittieri,L
rhyner,Fabaceae,Rhynchosia,erythrinoides,L
withso,Solanaceae,Witheringia,solanacea,T
asterd,Asteraceae,NA,NA,T
micoc2,Melastomataceae,Miconia,carnea,T
byrsc1,Malpighiaceae,Byrsonima,crispa,T
laplfr,Theaceae,Gordonia,fruticosa,T
psycg1,Rubiaceae,Psychotria,graciliflora,T
dio1pa,Dioscoreaceae,Dioscorea,panamensis,L
mesetr,Apocynaceae,Mesechites,trifidus,L
solaas,Solanaceae,Solanum,asperum,T
nectcu,Lauraceae,Nectandra,cuspidata,T
tri2tu,Meliaceae,Trichilia,tuberculata,T
cayagr,Cucurbitaceae,Cayaponia,granatensis,L
geonde,Arecaceae,Geonoma,deversa,T
eutepr,Arecaceae,Euterpe,precatoria,P
pipeau,Piperaceae,Piper,auritum,T
palitr,Rubiaceae,Palicourea,triphylla,T
prottr,Burseraceae,Protium,trifoliolatum,T
paulpt,Sapindaceae,Paullinia,pterocarpa,L
psigwa,Cucurbitaceae,Psiguria,warscewiczii,L
jubewi,Malpighiaceae,Jubelina,wilburii,L
heissc,Olacaceae,Heisteria,scandens,T
chomsp,Rubiaceae,Chomelia,spinosa,T
dio2me,NA,NA,NA,T
sapisp,Euphorbiaceae,Sapium,broadleaf,T
syzysa,Myrtaceae,Syzygium,samarangense,T
turnpa,Passifloraceae,Turnera,panamensis,T
bauhre,Fabaceae,Bauhinia,reflexa,L
brosla,Moraceae,Brosimum,lactescens,T
lagesp,Lythraceae,Lagerstroemia,speciosa,T
drymse,Gesneriaceae,Drymonia,serrulata,L
psigbi,Cucurbitaceae,Gurania,bignoniacea,L
zantp1,Rutaceae,Zanthoxylum,panamense,T
stemgr,Apocynaceae,Stemmadenia,grandiflora,T
cupasy,Sapindaceae,Cupania,seemannii,T
pel4co,Apocynaceae,Peltastes,colombianus,L
talipr,Sapindaceae,Talisia,croatii,T
pipegr,Piperaceae,Piper,grande,T
psycho,Rubiaceae,Psychotria,horizontalis,T
ingam1,Fabaceae,Inga,mucuna,T
omphdi,Euphorbiaceae,Omphalea,diandra,L
serjpl,Sapindaceae,Serjania,pluvialiflorens,L
hameax,Rubiaceae,Hamelia,axillaris,T
unid71,NA,Unidentified sp.71,NA,T
tocopi,Rubiaceae,Tocoyena,pittieri,T
mendgr,Acanthaceae,Mendoncia,gracilis,L
poutdu,Sapotaceae,Pouteria,durlandii,T
odo2tr,Menispermaceae,Odontocarya,truncata,L
guargu,Meliaceae,Guarea,guidonia,T
urerli,Urticaceae,Urera,lianoides,L
pipeca,Piperaceae,Piper,schiedeanum,T
