Family	Latin	Author	ValidLatin	Scope
Fabaceae	Abarema adenophora	 (Ducke) Barneby & J.W. Grimes	Abarema adenophora	
Fabaceae	Abarema barbouriana	(Standl.) Barneby & J.W. Grimes	Abarema barbouriana	
Fabaceae	Abarema idiopoda	(S.F. Blake) Barneby & J.W. Grimes	Abarema idiopoda	
Fabaceae	Abarema macradenia	(Pittier) Barneby & J.W. Grimes	Abarema macradenia	
Fabaceae	Abarema racemiflora	(Donn. Sm.) Barneby & J.W. Grimes	Abarema racemiflora	
Malvaceae	Abutilon purpusii	Standl.	Callianthe purpusii	everywhere
Fabaceae	Acacia angustissima	(Mill.) Kuntze	Acaciella angustissima	everywhere
Fabaceae	Acacia collinsii	Saff.	Vachellia collinsii	everywhere
Fabaceae	Acacia farnesiana	(L.) Willd.	Vachellia farnesiana	everywhere
Fabaceae	Acacia glomerosa	Benth.	Senegalia polyphylla	everywhere
Fabaceae	Acacia melanoceras	Beurl.	Vachellia melanoceras	everywhere
Fabaceae	Acacia polyphylla	DC.	Senegalia polyphylla	everywhere
Fabaceae	Acacia riparia	Kunth	Senegalia riparia	everywhere
Fabaceae	Acacia ruddiae	D.H. Janzen	Vachellia ruddiae	everywhere
Fabaceae	Acacia villosa	(Sw.) Willd.	Acaciella villosa	everywhere
Fabaceae	Acaciella angustissima	(Mill.) Britton & Rose	Acaciella angustissima	
Fabaceae	Acaciella villosa	(Sw.) Britton & Rose	Acaciella villosa	
Euphorbiaceae	Acalypha costaricensis	(Kuntze) Knobl. ex Pax & K. Hoffm.	Acalypha costaricensis	
Euphorbiaceae	Acalypha cuneata	Poepp.	Acalypha cuneata	
Euphorbiaceae	Acalypha diversifolia	Jacq.	Acalypha diversifolia	
Euphorbiaceae	Acalypha leptopoda	Müll. Arg.	Acalypha leptopoda	
Euphorbiaceae	Acalypha macrostachya	Jacq.	Acalypha macrostachya	
Euphorbiaceae	Acalypha muelleriana	Urb.	Acalypha muelleriana	
Euphorbiaceae	Acalypha obovata	Benth.	Acalypha cuneata	everywhere
Euphorbiaceae	Acalypha villosa	Jacq.	Acalypha villosa	
Cactaceae	Acanthocereus horridus	NA	Acanthocereus tetragonus	everywhere
Cactaceae	Acanthocereus pentagonus	(L.) Britton & Rose	Acanthocereus tetragonus	everywhere
Cactaceae	Acanthocereus tetragonus	(L.) Hummelinck	Acanthocereus tetragonus	
Polygalaceae	Acanthocladus dukei	(Barringer) J.F.B. Pastore & D. Cardoso	Acanthocladus dukei	
Sapotaceae	Achras calcicola	Pittier	Manilkara chicle	everywhere
Sapotaceae	Achras chicle	Pittier	Manilkara chicle	everywhere
Euphorbiaceae	Acidoton nicaraguensis	(Hemsl.) G.L. Webster	Gitara nicaraguensis	everywhere
Fabaceae	Acosmium panamense	(Benth.) Yakovlev	Leptolobium panamense	everywhere
Arecaceae	Acrocomia aculeata	(Jacq.) Lodd. ex Mart.	Acrocomia aculeata	
Arecaceae	Acrocomia panamensis	L.H. Bailey	Acrocomia aculeata	everywhere
Arecaceae	Acrocomia sclerocarpa	NA	Acrocomia aculeata	everywhere
Euphorbiaceae	Actinostemon caribaeus	Griseb.	Actinostemon concolor	everywhere
Euphorbiaceae	Actinostemon concolor	(Spreng.) Müll. Arg.	Actinostemon concolor	
Euphorbiaceae	Adelia panamensis	Pax & K. Hoffm.	Adelia triloba	everywhere
Euphorbiaceae	Adelia triloba	(Müll. Arg.) Hemsl.	Adelia triloba	
Melastomataceae	Adelobotrys panamensis	Almeda	Adelobotrys panamensis	
Lythraceae	Adenaria floribunda	Kunth	Adenaria floribunda	
Euphorbiaceae	Adenophaedra grandifolia	(Klotzsch) Müll. Arg.	Adenophaedra grandifolia	
Lamiaceae	Aegiphila anomala	Pittier	Aegiphila anomala	
Lamiaceae	Aegiphila cephalophora	Standl.	Aegiphila cephalophora	
Lamiaceae	Aegiphila costaricensis	Moldenke	Aegiphila costaricensis	
Lamiaceae	Aegiphila deppeana	Steud.	Aegiphila deppeana	
Lamiaceae	Aegiphila elata	Sw.	Aegiphila elata	
Lamiaceae	Aegiphila falcata	Donn. Sm.	Aegiphila falcata	
Lamiaceae	Aegiphila filipes	Mart. & Schauer	Aegiphila filipes	
Lamiaceae	Aegiphila glandulifera	Moldenke	Aegiphila panamensis	everywhere
Lamiaceae	Aegiphila hirsutissima	Moldenke	Aegiphila hirsutissima	
Lamiaceae	Aegiphila hoehnei	Moldenke	Aegiphila hoehnei	
Lamiaceae	Aegiphila integrifolia	(Jacq.) B.D. Jacks.	Aegiphila integrifolia	
Lamiaceae	Aegiphila laeta	Kunth	Aegiphila laeta	
Lamiaceae	Aegiphila magnifica	Moldenke	Aegiphila panamensis	everywhere
Lamiaceae	Aegiphila martinicensis	Jacq.	Aegiphila martinicensis	
Lamiaceae	Aegiphila mollis	Kunth	Aegiphila mollis	
Lamiaceae	Aegiphila odontophylla	Donn. Sm.	Aegiphila odontophylla	
Lamiaceae	Aegiphila panamensis	Moldenke	Aegiphila panamensis	
Lamiaceae	Aegiphila valerii	Standl.	Aegiphila valerii	
Lamiaceae	Aegiphila valerioi	Standl.	Aegiphila valerii	everywhere
Asteraceae	Ageratina ixiocladon	(Benth.) R.M. King & H. Rob.	Ageratina ixiocladon	
Rubiaceae	Agouticarpa curviflora	(Dwyer) C.H. Perss.	Agouticarpa curviflora	
Rubiaceae	Agouticarpa williamsii	(Standl.) C.H. Perss.	Agouticarpa williamsii	
Lauraceae	Aiouea brenesii	(Standl.) R.Rhode	Aiouea brenesii	
Lauraceae	Aiouea chavarriana	(Hammel) R.Rohde	Aiouea chavarriana	
Lauraceae	Aiouea costaricensis	(Mez) Kosterm.	Aiouea costaricensis	
Lauraceae	Aiouea hammeliana	(W.C.Burger) R.Rohde	Aiouea hammeliana	
Lauraceae	Aiouea lundelliana	NA	Ocotea insularis	everywhere
Lauraceae	Aiouea montana	(Sw.) R.Rohde	Aiouea montana	
Lauraceae	Aiouea pittieri	Rohwe	Aiouea pittieri	
Lauraceae	Aiouea tonduzii	(Mez) R.Rohde	Aiouea tonduzii	
Lauraceae	Aiouea vexatrix	van der Werff	Aiouea vexatrix	
Arecaceae	Aiphanes fuscopubens	L.H. Bailey	Aiphanes hirsuta	everywhere
Arecaceae	Aiphanes grandis	Borchs. & Balslev	Aiphanes hirsuta	everywhere
Arecaceae	Aiphanes hirsuta	Burret	Aiphanes hirsuta	
Arecaceae	Aiphanes minima	NA	Bactris guineensis	everywhere
Fabaceae	Albizia adinocephala	(Donn. Sm.) Britton & Rose ex Record	Albizia adinocephala	
Fabaceae	Albizia carbonaria	Britton	Albizia carbonaria	
Fabaceae	Albizia caribaea	(Urb.) Britton & Rose	Albizia niopoides	everywhere
Fabaceae	Albizia guachapele	(Kunth) Dugand	Pseudosamanea guachapele	everywhere
Fabaceae	Albizia longepedata	(Pittier) Britton & Rose ex Record	Pseudosamanea guachapele	everywhere
Fabaceae	Albizia niopoides	(Spruce ex Benth.) Burkart	Albizia niopoides	
Fabaceae	Albizia saman	(Jacq.) Merr.	Samanea saman	everywhere
Euphorbiaceae	Alchornea costaricensis	Pax & K. Hoffm.	Alchornea costaricensis	
Euphorbiaceae	Alchornea glandulosa	Poepp.	Alchornea glandulosa	
Euphorbiaceae	Alchornea grandiflora	Müll. Arg.	Alchornea grandiflora	
Euphorbiaceae	Alchornea grandis	Benth.	Alchornea grandis	
Euphorbiaceae	Alchornea latifolia	Sw.	Alchornea latifolia	
Euphorbiaceae	Alchornea megalophylla	Müll. Arg.	Alchornea megalophylla	
Euphorbiaceae	Alchornea triplinervia	(Spreng.) Müll. Arg.	Alchornea triplinervia	
Euphorbiaceae	Alchorneopsis floribunda	(Benth.) Müll. Arg.	Alchorneopsis floribunda	
Juglandaceae	Alfaroa costaricensis	Standl.	Alfaroa costaricensis	
Juglandaceae	Alfaroa williamsii	Ant. Molina	Alfaroa williamsii	
Rubiaceae	Alibertia atlantica	(Dwyer) Delprete & C.H. Perss.	Alibertia atlantica	
Rubiaceae	Alibertia bertierifolia	K. Schum.	Alibertia bertierifolia	
Rubiaceae	Alibertia dwyeri	Delprete & C.H. Perss.	Alibertia dwyeri	
Rubiaceae	Alibertia edulis	(Rich.) A. Rich. ex DC.	Alibertia edulis	
Rubiaceae	Alibertia garapatica	K. Schum.	Cordiera garapatica	everywhere
Rubiaceae	Alibertia panamensis	L. Riley	Alibertia edulis	everywhere
Rubiaceae	Alibertia patinoi	(Cuatrec.) Delprete & C.H. Perss.	Alibertia patinoi	
Rubiaceae	Alibertia premontana	C.M. Taylor	Alibertia edulis	everywhere
Rubiaceae	Allenanthus erythrocarpus	Standl.	Allenanthus erythrocarpus	
Sapindaceae	Allophylus gentryi	Croat	Allophylus gentryi	
Sapindaceae	Allophylus occidentalis	(Sw.) Radlk.	Allophylus racemosus	everywhere
Sapindaceae	Allophylus psilospermus	Radlk.	Allophylus psilospermus	
Sapindaceae	Allophylus racemosus	Sw.	Allophylus racemosus	
Betulaceae	Alnus acuminata	Kunth	Alnus acuminata	
Betulaceae	Alnus ferruginea	Kunth	Alnus acuminata	everywhere
Rubiaceae	Alseis blackiana	Hemsl.	Alseis blackiana	
Rubiaceae	Alseis darienensis	Dwyer	Wittmackanthus stanleyanus	everywhere
Cyatheaceae	Alsophila cuspidata	(Kunze) D.S. Conant	Alsophila cuspidata	
Cyatheaceae	Alsophila erinacea	(H. Karst.) D.S. Conant	Alsophila erinacea	
Cyatheaceae	Alsophila firma	(Baker) D.S. Conant	Alsophila firma	
Cyatheaceae	Alsophila imrayana	(Christ) Lellinger	Alsophila imrayana	
Cyatheaceae	Alsophila polystichoides	Christ	Alsophila polystichoides	
Cyatheaceae	Alsophila salvinii	Hook.	Alsophila salvinii	
Apocynaceae	Alstonia longifolia	(A. DC.) Pichon	Alstonia longifolia	
Alzateaceae	Alzatea mexicana	F. Dietr.	Alzatea verticillata	everywhere
Alzateaceae	Alzatea verticillata	Ruiz & Pav.	Alzatea verticillata	
Rubiaceae	Amaioua corymbosa	Kunth	Amaioua glomerulata	everywhere
Rubiaceae	Amaioua glomerulata	(Lam. ex Poir.) Delprete & C.H. Perss.	Amaioua glomerulata	
Rubiaceae	Amaioua magnicarpa	Dwyer	Amaioua magnicarpa	
Rubiaceae	Amaioua pedicellata	Dwyer	Amaioua pedicellata	
Phyllanthaceae	Amanoa guianensis	Aubl.	Amanoa guianensis	
Ulmaceae	Ampelocera edentula	Kuhlm.	Ampelocera macrocarpa	Panama only
Ulmaceae	Ampelocera macphersonii	Todzia	Ampelocera macphersonii	
Ulmaceae	Ampelocera macrocarpa	Forero & A.H. Gentry	Ampelocera macrocarpa	
Violaceae	Amphirrhox longifolia	(A. St.-Hil.) Spreng.	Amphirrhox longifolia	
Violaceae	Amphirrox latifolia	NA	Amphirrhox longifolia	everywhere
Bignoniaceae	Amphitecna isthmica	(A.H. Gentry) A.H. Gentry	Amphitecna isthmica	
Bignoniaceae	Amphitecna kennedyae	(A.H. Gentry) A.H. Gentry	Amphitecna kennedyae	
Bignoniaceae	Amphitecna latifolia	(Mill.) A.H. Gentry	Amphitecna latifolia	
Bignoniaceae	Amphitecna parviflora	A.H. Gentry	Amphitecna parviflora	
Bignoniaceae	Amphitecna sessilifolia	(Donn. Sm.) L.O. Williams	Amphitecna sessilifolia	
Bignoniaceae	Amphitecna spathicalyx	(A.H. Gentry) A.H. Gentry	Amphitecna spathicalyx	
Rutaceae	Amyris balsamifera	L.	Amyris balsamifera	
Rutaceae	Amyris pinnata	Kunth	Amyris pinnata	
Anacardiaceae	Anacardium excelsum	(Kunth) Skeels	Anacardium excelsum	
Anacardiaceae	Anacardium microcarpum	Ducke	Anacardium occidentale	everywhere
Anacardiaceae	Anacardium occidentale	L.	Anacardium occidentale	
Annonaceae	Anaxagorea allenii	R.E. Fr.	Anaxagorea allenii	
Annonaceae	Anaxagorea clavata	R.E. Fr.	Anaxagorea crassipetala	everywhere
Annonaceae	Anaxagorea costaricensis	R.E. Fr.	Anaxagorea phaeocarpa	everywhere
Annonaceae	Anaxagorea crassipetala	Hemsl.	Anaxagorea crassipetala	
Annonaceae	Anaxagorea panamensis	Standl.	Anaxagorea panamensis	
Annonaceae	Anaxagorea phaeocarpa	Mart.	Anaxagorea phaeocarpa	
Fabaceae	Andira chiricana	NA	Andira inermis	everywhere
Fabaceae	Andira inermis	(W. Wright) Kunth ex DC.	Andira inermis	
Fabaceae	Andira taurotesticulata	R.T. Penn.	Andira taurotesticulata	
Rutaceae	Angostura kunorum	McPherson	Conchocarpus toxicarius	everywhere
Rutaceae	Angostura nicaraguensis	(Standl. & L.O. Williams) T.S. Elias	Conchocarpus nicaraguensis	everywhere
Lauraceae	Aniba bracteata	(Nees) Mez	Aniba bracteata	
Lauraceae	Aniba cinnamomiflora	C.K. Allen	Aniba cinnamomiflora	
Lauraceae	Aniba hostmanniana	(Nees) Mez	Aniba hostmanniana	
Lauraceae	Aniba puchury-minor	(Mart.) Mez	Aniba puchury-minor	
Annonaceae	Annona acuminata	Saff.	Annona acuminata	
Annonaceae	Annona caesia	G. E. Schatz, C. Ramos & O. Ortiz	Annona caesia	
Annonaceae	Annona cherimola	Mill.	Annona cherimola	
Annonaceae	Annona echinata	Dunal	Annona acuminata	everywhere
Annonaceae	Annona glabra	L.	Annona glabra	
Annonaceae	Annona hayesii	Saff.	Annona hayesii	
Annonaceae	Annona inconformis	Pittier	Annona inconformis	
Annonaceae	Annona involucrata	Baill.	Annona purpurea	everywhere
Annonaceae	Annona laurifolia	Dunal	Annona glabra	everywhere
Annonaceae	Annona manirote	Kunth	Annona purpurea	everywhere
Annonaceae	Annona montana	Macfad.	Annona montana	
Annonaceae	Annona mucosa	Jacq.	Annona mucosa	
Annonaceae	Annona muricata	L.	Annona muricata	
Annonaceae	Annona papilionella	(Diels) H. Rainer	Annona papilionella	
Annonaceae	Annona pisonis	Mart.	Annona montana	everywhere
Annonaceae	Annona pittieri	Donn. Sm.	Annona pittieri	
Annonaceae	Annona purpurea	Moc. & Sessé ex Dunal	Annona purpurea	
Annonaceae	Annona rensoniana	(Standl.) H. Rainer	Annona rensoniana	
Annonaceae	Annona spraguei	Saff.	Annona spraguei	
Annonaceae	Annona squamosa	L.	Annona squamosa	
Annonaceae	Annona uncinata	Sprague	Annona spraguei	everywhere
Caryocaraceae	Anthodiscus chocoensis	Prance	Anthodiscus chocoensis	
Ericaceae	Anthopterus wardii	Ball	Anthopterus wardii	
Rubiaceae	Antirhea trichantha	(Griseb.) Hemsl.	Pittoniotis trichantha	everywhere
Rubiaceae	Antirrhoea trichantha	 Hemsl.	Pittoniotis trichantha	everywhere
Malvaceae	Apeiba aspera	Aubl.	Apeiba membranacea	everywhere
Malvaceae	Apeiba membranacea	Spruce ex Benth.	Apeiba membranacea	
Malvaceae	Apeiba tibourbou	Aubl.	Apeiba tibourbou	
Acanthaceae	Aphelandra campanensis	Durkee	Aphelandra campanensis	
Acanthaceae	Aphelandra deppeana	Schltdl. & Cham. 	Aphelandra scabra	everywhere
Acanthaceae	Aphelandra dukei	Wassh.	Aphelandra scabra	everywhere
Acanthaceae	Aphelandra golfodulcensis	McDade	Aphelandra golfodulcensis	
Acanthaceae	Aphelandra gracilis	Leonard	Aphelandra gracilis	
Acanthaceae	Aphelandra hartwegiana	Nees	Aphelandra hartwegiana	
Acanthaceae	Aphelandra incarnata	Leonard	Aphelandra terryae	everywhere
Acanthaceae	Aphelandra laxa	Durkee	Aphelandra laxa	
Acanthaceae	Aphelandra leonardii	McDade	Aphelandra leonardii	
Acanthaceae	Aphelandra lingua-bovis	Leonard	Aphelandra lingua-bovis	
Acanthaceae	Aphelandra micans	Moritz ex Vatke	Aphelandra micans	
Acanthaceae	Aphelandra panamensis	McDade	Aphelandra panamensis	
Acanthaceae	Aphelandra pilosa	Leonard	Aphelandra pilosa	
Acanthaceae	Aphelandra pulcherrima	NA	Aphelandra leonardii	everywhere
Acanthaceae	Aphelandra scabra	(Vahl) Sm.	Aphelandra scabra	
Acanthaceae	Aphelandra scolnikiae	Leonard	Aphelandra scolnikiae	
Acanthaceae	Aphelandra sinclairiana	Nees	Aphelandra sinclairiana	
Acanthaceae	Aphelandra terryae	Standl.	Aphelandra terryae	
Rubiaceae	Appunia seibertii	Standl.	Appunia seibertii	
Rubiaceae	Arachnothryx bertieroides	(Standl.) Borhidi	Arachnothryx bertieroides	
Rubiaceae	Arachnothryx brenesii	(Standl.) Borhidi	Arachnothryx brenesii	
Rubiaceae	Arachnothryx buddleioides	(Benth.) Planch.	Arachnothryx buddleioides	
Rubiaceae	Arachnothryx chiriquiana	(Lorence) Borhidi	Arachnothryx chiriquiana	
Rubiaceae	Arachnothryx cooperi	(Standl.) Borhidi	Arachnothryx bertieroides	everywhere
Rubiaceae	Arachnothryx darienensis	(Standl.) Borhidi	Arachnothryx darienensis	
Rubiaceae	Arachnothryx dwyeri	(Lorence) Borhidi	Arachnothryx dwyeri	
Rubiaceae	Arachnothryx hameliifolia	(Dwyer & M.V. Hayden) Borhidi	Rondeletia hameliifolia	everywhere
Rubiaceae	Arachnothryx secunda	(Standl.) Borhidi	Arachnothryx secunda	
Rubiaceae	Arachnothryx torresii	(Standl.) Borhidi	Arachnothryx torresii	
Araliaceae	Aralia arborea	L.	Dendropanax arboreus	everywhere
Araliaceae	Aralia capitata	Jacq.	Oreopanax capitatus	everywhere
Araliaceae	Aralia excelsa	(Griseb.) J. Wen	Sciadodendron excelsum	everywhere
Araliaceae	Aralia xalapensis	Kunth	Oreopanax xalapensis	everywhere
Clusiaceae	Arawakia caputmonsia	(Gahagen) L. Marinho	Arawakia caputmonsia	
Clusiaceae	Arawakia panamaea	(Gahagen) L. Marinho	Arawakia panamaea	
Clusiaceae	Arawakia weddelliana	(Planch. & Triana) L. Marinho	Arawakia weddelliana	
Ericaceae	Arctostaphylos arbutoides	(Lindl.) Hemsl.	Comarostaphylis arbutoides	everywhere
Primulaceae	Ardisia aequilonga	Lundell	Ardisia subcrenulata	everywhere
Primulaceae	Ardisia alajuelae	(Lundell) Pipoly & Ricketson	Ardisia alajuelae	
Primulaceae	Ardisia albipetala	(Lundell) Pipoly & Ricketson	Ardisia costaricensis	everywhere
Primulaceae	Ardisia albisepala	(Lundell) Pipoly & Ricketson	Ardisia albisepala	
Primulaceae	Ardisia allenii	Lundell	Ardisia foetida	everywhere
Primulaceae	Ardisia alstonii	Lundell	Ardisia guianensis	everywhere
Primulaceae	Ardisia amanuensis	Lundell	Ardisia amanuensis	
Primulaceae	Ardisia antonensis	Lundell	Ardisia fendleri	everywhere
Primulaceae	Ardisia atrata	Lundell	Ardisia megistophylla	everywhere
Primulaceae	Ardisia atropurpurea	Lundell	Ardisia atropurpurea	
Primulaceae	Ardisia auriculata	Donn. Sm.	Ardisia auriculata	
Primulaceae	Ardisia austin-smithii	Lundell	Gentlea austin-smithii	everywhere
Primulaceae	Ardisia bartlettii	Lundell	Ardisia bartlettii	
Primulaceae	Ardisia bekomiensis	(Lundell) J.F.Morales	Ardisia costaricensis	everywhere
Primulaceae	Ardisia blepharodes	Lundell	Ardisia blepharodes	
Primulaceae	Ardisia boltenii	Lundell	Ardisia wedelii	everywhere
Primulaceae	Ardisia boquetensis	Lundell	Ardisia palmana	everywhere
Primulaceae	Ardisia brenesii	Standl.	Ardisia brenesii	
Primulaceae	Ardisia brevis	Lundell	Ardisia brevis	
Primulaceae	Ardisia bristanii	Lundell	Ardisia unguiensis	everywhere
Primulaceae	Ardisia calvariona	Lundell	Hymenandra crosbyi	everywhere
Primulaceae	Ardisia caudatifolia	Lundell	Ardisia furfuracella	everywhere
Primulaceae	Ardisia chiriquiana	(Lundell) Lundell	Ardisia hagenii	everywhere
Primulaceae	Ardisia chiriquiensis	Lundell	Ardisia costaricensis	everywhere
Primulaceae	Ardisia chontalensis	Mez	Ardisia nigropunctata	everywhere
Primulaceae	Ardisia clavelligera	Lundell	Ardisia guancheana	everywhere
Primulaceae	Ardisia coibana	(Lundell) Lundell	Ardisia opegrapha	everywhere
Primulaceae	Ardisia colombiana	Lundell	Ardisia colombiana	
Primulaceae	Ardisia colonensis	Lundell	Ardisia colombiana	everywhere
Primulaceae	Ardisia coloradoana	Lundell	Ardisia coloradoana	
Primulaceae	Ardisia compressa	Kunth	Ardisia compressa	
Primulaceae	Ardisia conglobata	Lundell	Ardisia dwyeri	everywhere
Primulaceae	Ardisia conglomerata	Lundell	Ardisia conglomerata	
Primulaceae	Ardisia correae	Lundell	Ardisia croatii	everywhere
Primulaceae	Ardisia costaricensis	Lundell	Ardisia costaricensis	
Primulaceae	Ardisia crassipedicellata	Lundell	Ardisia crassipedicellata	
Primulaceae	Ardisia crassipes	Lundell	Ardisia crassipes	
Primulaceae	Ardisia croatii	Lundell	Ardisia croatii	
Primulaceae	Ardisia crosbyi	Lundell	Hymenandra crosbyi	everywhere
Primulaceae	Ardisia darienensis	Lundell	Ardisia darienensis	
Primulaceae	Ardisia davidsei	Lundell	Ardisia maxonii	everywhere
Primulaceae	Ardisia dressleri	Lundell	Ardisia crassipedicellata	everywhere
Primulaceae	Ardisia dukei	Lundell	Ardisia dukei	
Primulaceae	Ardisia dwyeri	Lundell	Ardisia dwyeri	
Primulaceae	Ardisia eugenioides	Lundell	Ardisia rigidifolia	everywhere
Primulaceae	Ardisia fendleri	Lundell	Ardisia fendleri	
Primulaceae	Ardisia fimbrillifera	Lundell	Ardisia fimbrillifera	
Primulaceae	Ardisia florulenta	Lundell	Ardisia crassipes	everywhere
Primulaceae	Ardisia foetida	Willd. ex Roem. & Schult.	Ardisia foetida	
Primulaceae	Ardisia folsomii	Lundell	Ardisia folsomii	
Primulaceae	Ardisia fruticosa	Lundell	Ardisia fruticosa	
Primulaceae	Ardisia furfuracella	Standl.	Ardisia furfuracella	
Primulaceae	Ardisia generalensis	Ricketson & Pipoly	Ardisia generalensis	
Primulaceae	Ardisia geniculata	Lundell	Ardisia geniculata	
Primulaceae	Ardisia gigantea	Ricketson & Pipoly	Ardisia gigantea	
Primulaceae	Ardisia glandulosomarginata	Oerst.	Ardisia glandulosomarginata	
Primulaceae	Ardisia glomerata	Lundell	Ardisia glomerata	
Primulaceae	Ardisia gordonii	Ricketson & Pipoly	Ardisia gordonii	
Primulaceae	Ardisia granatensis	Mez	Ardisia granatensis	
Primulaceae	Ardisia guancheana	Lundell	Ardisia guancheana	
Primulaceae	Ardisia guianensis	(Aubl.) Mez	Ardisia guianensis	
Primulaceae	Ardisia guttata	NA	Ardisia foetida	everywhere
Primulaceae	Ardisia guyanensis		Ardisia guianensis	everywhere
Primulaceae	Ardisia hagenii	Lundell	Ardisia hagenii	
Primulaceae	Ardisia hammelii	Lundell	Ardisia hammelii	
Primulaceae	Ardisia hatoana	(Lundell) Pipoly & Ricketson	Ardisia storkii	everywhere
Primulaceae	Ardisia herrerana	Pipoly & Ricketson	Ardisia herrerana	
Primulaceae	Ardisia hirsutissima	Lundell	Ardisia ursina	everywhere
Primulaceae	Ardisia hornitoana	Pipoly & Ricketson	Ardisia rigidifolia	everywhere
Primulaceae	Ardisia horquetensis	Lundell	Ardisia crassipes	everywhere
Primulaceae	Ardisia jefeana	Lundell	Ardisia jefeana	
Primulaceae	Ardisia knappiae	(Lundell) Pipoly & Ricketson	Ardisia knappiae	
Primulaceae	Ardisia knappii		Ardisia knappiae	everywhere
Primulaceae	Ardisia leptopoda	(Lundell) Lundell	Ardisia glandulosomarginata	everywhere
Primulaceae	Ardisia lundelliana	Pipoly	Ardisia lundelliana	
Primulaceae	Ardisia mammosa	Lundell	Ardisia nigropunctata	everywhere
Primulaceae	Ardisia maxonii	Standl.	Ardisia maxonii	
Primulaceae	Ardisia megistophylla	Lundell	Ardisia megistophylla	
Primulaceae	Ardisia minima	Lundell	Ardisia vesca	everywhere
Primulaceae	Ardisia myriodonta	Standl.	Ardisia pellucida	everywhere
Primulaceae	Ardisia nebulosa	(Lundell) Lundell	Ardisia unguiensis	everywhere
Primulaceae	Ardisia neei	Lundell	Ardisia subcrenulata	everywhere
Primulaceae	Ardisia nervosissima	Lundell	Ardisia nervosissima	
Primulaceae	Ardisia nigrita	Lundell	Ardisia colombiana	everywhere
Primulaceae	Ardisia nigropunctata	Oerst.	Ardisia nigropunctata	
Primulaceae	Ardisia oblanceolata	Standl.	Hymenandra stenophylla	everywhere
Primulaceae	Ardisia opaca	Lundell	Ardisia opaca	
Primulaceae	Ardisia opegrapha	Oerst.	Ardisia opegrapha	
Primulaceae	Ardisia palmana	Donn. Sm.	Ardisia palmana	
Primulaceae	Ardisia pellucida	Oerst.	Ardisia pellucida	
Primulaceae	Ardisia perinsignis	Lundell	Ardisia perinsignis	
Primulaceae	Ardisia perpuncticulosa	NA	Geissanthus perpuncticulosus	everywhere
Primulaceae	Ardisia picturata	Lundell	Ardisia opegrapha	everywhere
Primulaceae	Ardisia pilonensis	Lundell	Ardisia tysonii	everywhere
Primulaceae	Ardisia pirreana	Lundell	Ardisia tenuis	everywhere
Primulaceae	Ardisia pittieri	Mez	Hymenandra pittieri	everywhere
Primulaceae	Ardisia pleurobotrya	Donn. Sm.	Ardisia pleurobotrya	
Primulaceae	Ardisia pluriflora	Lundell	Ardisia scheryi	everywhere
Primulaceae	Ardisia pseudocuspidata	Pipoly & Ricketson	Ardisia pseudocuspidata	
Primulaceae	Ardisia pulverulenta	Mez	Ardisia pulverulenta	
Primulaceae	Ardisia revoluta	Kunth	Ardisia revoluta	
Primulaceae	Ardisia rigidifolia	Lundell	Ardisia rigidifolia	
Primulaceae	Ardisia rimiformis	Lundell	Ardisia maxonii	everywhere
Primulaceae	Ardisia riomonteana	NA	Ardisia opegrapha	everywhere
Primulaceae	Ardisia rufa	Lundell	Ardisia palmana	everywhere
Primulaceae	Ardisia scheryi	Lundell	Ardisia scheryi	
Primulaceae	Ardisia steinii	Pipoly & Ricketson	Ardisia maxonii	everywhere
Primulaceae	Ardisia storkii	Lundell	Ardisia storkii	
Primulaceae	Ardisia subcrenulata	Lundell	Ardisia subcrenulata	
Primulaceae	Ardisia subsessilifolia	Lundell	Ardisia subsessilifolia	
Primulaceae	Ardisia tacarcunana	Lundell	Ardisia brevis	everywhere
Primulaceae	Ardisia tenuis	Lundell	Ardisia tenuis	
Primulaceae	Ardisia toroana	(Lundell) Lundell	Ardisia hagenii	everywhere
Primulaceae	Ardisia tuirana	NA	Ardisia bartlettii	everywhere
Primulaceae	Ardisia tysonii	Lundell	Ardisia tysonii	
Primulaceae	Ardisia unguiensis	Lundell	Ardisia unguiensis	
Primulaceae	Ardisia ursina	Lundell	Ardisia ursina	
Primulaceae	Ardisia venosissima	NA	Gentlea venosissima	everywhere
Primulaceae	Ardisia vesca	Lundell	Ardisia vesca	
Primulaceae	Ardisia wedelii	Lundell	Ardisia wedelii	
Primulaceae	Ardisia whitei	Lundell	Ardisia compressa	everywhere
Primulaceae	Ardisia woodsonii	NA	Ardisia maxonii	everywhere
Annonaceae	Asimina costaricensis	Donn. Sm.	Cymbopetalum costaricense	everywhere
Apocynaceae	Aspidosperma cruenta	NA	Aspidosperma cruentum	everywhere
Apocynaceae	Aspidosperma cruentum	Woodson	Aspidosperma cruentum	
Apocynaceae	Aspidosperma crypticum	J.F. Morales & N. Zamora	Aspidosperma crypticum	
Apocynaceae	Aspidosperma darienense	Woodson ex Dwyer	Aspidosperma darienense	
Apocynaceae	Aspidosperma desmanthum	Benth. ex Müll. Arg.	Aspidosperma cruentum	Panama only
Apocynaceae	Aspidosperma excelsum	Benth.	Aspidosperma excelsum	
Apocynaceae	Aspidosperma marcgravianum	Woodson	Aspidosperma excelsum	everywhere
Apocynaceae	Aspidosperma megalocarpon	Müll. Arg.	Aspidosperma megalocarpon	
