SPCODE	GENUS	SPECIES	FAMILY	LIANA
COURPA	Couratari	guianensis	Lecythidaceae	
COU3GU	Couroupita	guianensis	Lecythidaceae	
COUSVI	Coussapoa	villosa	Cecropiaceae	l
COU2CE	Coussarea	cerroazulensis	Rubiaceae	
COU2CU	Coussarea	curvigemmia	Rubiaceae	
COU2HO	Coussarea	hondensis	Rubiaceae	
COU2LA	Coussarea	latifolia	Rubiaceae	
COU2LO	Coussarea	loftonii	Rubiaceae	
COU21	Coussarea	sp.1	Rubiaceae	
COUTHE	Coutarea	hexandra	Rubiaceae	
CRATTA	Crateva	tapia	Capparaceae	
CREMPA	Cremastosperma	panamense	Annonaceae	
CREM2	Cremastosperma	sp.2	Annonaceae	
CREM4	Cremastosperma	sp.4	Annonaceae	
CRESAL	Crescentia	alata	Bignoniaceae	
CRESCU	Crescentia	cujete	Bignoniaceae	
CROSPA	Crossopetalum	parviflorum	Celastraceae	
CROTBI	Croton	billbergianus	Euphorbiaceae	
CROTDR	Croton	draco	Euphorbiaceae	
CROTLA	Croton	lanjouwensis	Euphorbiaceae	
CROTPA	Croton	pachypodus	Euphorbiaceae	
CROTSA	Croton	santaritensis	Euphorbiaceae	
CROTSC	Croton	schiedeanus	Euphorbiaceae	
CROTSM	Croton	smithianus	Euphorbiaceae	
CROT2	Croton	sp.2	Euphorbiaceae	
CROT3	Croton	sp.3	Euphorbiaceae	
CRUDAC	Crudia	acuminata	Fabaceae:Caesal.	
CRYOWA	Cryosophila	warscewiczii	Arecaceae	
CRYPAS	Cryptocarya	aschersoniana	Lauraceae	
CUPACI	Cupania	cinerea	Sapindaceae	
CUPAGU	Cupania	guatemalensis	Sapindaceae	
CUPALA	Cupania	latifolia	Sapindaceae	
CUPARU	Cupania	rufescens	Sapindaceae	
CUPASC	Cupania	scrobiculata	Sapindaceae	
CUPASY	Cupania	seemannii	Sapindaceae	
CUPA1	Cupania	sp.1	Sapindaceae	
CUPA2	Cupania	sp.2	Sapindaceae	
CUPA3	Cupania	sp.3	Sapindaceae	
CUPA5	Cupania	sp.5	Sapindaceae	
CURAAM	Curatella	americana	Dilleniaceae	
CYATMU	Cyathea	multiflora	Cyatheaceae	
CNEMPE	Cyathea	petiolata	Cyatheaceae	
CYBISC	Cybianthus	schlimii	Myrsinaceae	
CYDIAE	Cydista	aequinoctialis	Bignoniaceae	l
CYDIHE	Cydista	heterophylla	Bignoniaceae	l
CYM1CO	Cymbopetalum	costaricense	Annonaceae	
CYM1LA	Cymbopetalum	lanugipetalum	Annonaceae	
CYM1TO	Cymbopetalum	torulosum	Annonaceae	
CYMBRO	Cymbosema	roseum	Fabaceae:faboid.	l
CYNOBA	Cynometra	bauhiniifolia	Fabaceae:Caesal.	
CYRIRA	Cyrilla	racemiflora	Cyrillaceae	
DALBMO	Dalbergia	monetaria	Fabaceae	l
DALBRE	Dalbergia	retusa	Fabaceae:Papil.	
DALECI	Dalechampia	cissifolia	Euphorbiaceae	l
DALEDI	Dalechampia	dioscoreifolia	Euphorbiaceae	l
DAPHAM	Daphnopsis	americana	Thymelaeaceae	
DAPHCO	Daphnopsis	correae	Thymelaeaceae	
DAVINI	Davilla	nitida	Dilleniaceae	l
DELORE	Delonix	regia	Fabaceae:Caesal.	
DENDAR	Dendropanax	arboreus	Araliaceae	
DENDGL	Dendropanax	globosus	Araliaceae	
DENDPU	Dendropanax	punctatus	Araliaceae	
DENDSE	Dendropanax	sessiliflorus	Araliaceae	
DES1OR	Desmoncus	orthacanthos	Arecaceae	l
DES2BI	Desmopsis	bibracteata	Annonaceae	
DES2MA	Desmopsis	maxonii	Annonaceae	
DES2PA	Desmopsis	panamensis	Annonaceae	
DIALGU	Dialium	guianense	Fabaceae:Caesal.	
DICHAX	Dichapetalum	axillare	Dichapetalaceae	
DILOCO	Dilodendron	costaricense	Sapindaceae	
DIOCGU	Dioclea	guianensis	Fabaceae	l
DIOCRE	Dioclea	reflexa	Fabaceae	l
DIOC1	Dioclea	sp.1	Fabaceae:Papil.	l
DIOCWI	Dioclea	wilsonii	Fabaceae	l
DIO1AL	Dioscorea	alata	Dioscoreaceae	l
DIO1HA	Dioscorea	haenkeana	Dioscoreaceae	l
DIO1PI	Dioscorea	pilosiuscula	Dioscoreaceae	l
DIO1PO	Dioscorea	polygonoides	Dioscoreaceae	l
DIO1UR	Dioscorea	urophylla	Dioscoreaceae	l
DIO2AR	Diospyros	artanthifolia	Ebenaceae	
DIPHRO	Diphysa	americana	Fabaceae:Papil.	
DIPLPU	Diplotropis	purpurea	Fabaceae:Papil.	
DIPTPA	Dipteryx	oleifera	Fabaceae:Papil.	
DISCGU	Discophora	guianensis	Icacinaceae	
DOLI1	Doliocarpus	1	Dilleniaceae	l
DOLIDE	Doliocarpus	dentatus	Dilleniaceae	l
DOLIMA	Doliocarpus	major	Dilleniaceae	l
DOLIMU	Doliocarpus	multiflorus	Dilleniaceae	l
DOLIOL	Doliocarpus	olivaceus	Dilleniaceae	l
DRYP2	Drypetes	'coba'	Euphorbiaceae	
DRYPAM	Drypetes	aff.amazonica	Euphorbiaceae	
DRYP1	Drypetes	sp.1	Euphorbiaceae	
DRYPST	Drypetes	standleyi	Euphorbiaceae	
DUGUCO	Duguetia	confusa	Annonaceae	
DUSSAT	Dussia	atropurpurea	Fabaceae:Papil.	
DUSSMA	Dussia	macroprophyllata	Fabaceae:Papil.	
DUSS1	Dussia	sp.1	Fabaceae:Papil.	
DUSS2	Dussia	sp.2	Fabaceae:Papil.	
DUSS3	Dussia	sp.3	Fabaceae:Papil.	
DUSS4	Dussia	sp.4	Fabaceae:Papil.	
DUSS5	Dussia	sp.5	Fabaceae:Papil.	
DUSS6	Dussia	sp.6	Fabaceae:Papil.	
DUSSTE	Dussia	tessmannii	Fabaceae:Papil.	
DYSTPA	Dystovomita	paniculata	Clusiaceae	
ECCLLA	Ecclinusa	lanceolata	Sapotaceae	
ELA1AU	Elaeagia	auriculata	Rubiaceae	
ELA1NI	Elaeagia	nitidifolia	Rubiaceae	
ELAEOL	Elaeis	oleifera	Arecaceae	
ELA21	Elaeoluma	sp.1	Sapotaceae	
ENDLBR	Endlicheria	browniana	Lauraceae	
ENTAMO	Entada	gigas	Fabaceae	l
ADE4PO	Entadopsis	polystachya	Fabaceae	l
ENTECY	Enterolobium	cyclocarpum	Fabaceae:Mimos.	
ENTESC	Enterolobium	schomburgkii	Fabaceae:Mimos.	
ERBLOD	Erblichia	odorata	Turneraceae	
ERISBL	Erisma	blancoa	Vochysiaceae	
ERY1CO	Erythrina	costaricensis	Fabaceae:Papil.	
ERY1FU	Erythrina	fusca	Fabaceae:Papil.	
ERY1GI	Erythrina	gibbosa	Fabaceae:Papil.	
ERY1RU	Erythrina	rubrinervia	Fabaceae:Papil.	
ERY3SU	Erythrophleum	suaveolens	Fabaceae:Papil.	
ERY22	Erythroxylum	'parita'	Erythroxylaceae	
ERY2CI	Erythroxylum	citrifolium	Erythroxylaceae	
ERY2MA	Erythroxylum	macrophyllum	Erythroxylaceae	
ERY2PA	Erythroxylum	panamense	Erythroxylaceae	
ESCHAN	Eschweilera	aff.angustifolia	Lecythidaceae	
ESCHAM	Eschweilera	amplexifolia	Lecythidaceae	
ESCHCA	Eschweilera	calyculata	Lecythidaceae	
ESCHJA	Eschweilera	jacquelyniae	Lecythidaceae	
ESCHPA	Eschweilera	panamensis	Lecythidaceae	
ESCHPI	Eschweilera	pittieri	Lecythidaceae	
ESCHSE	Eschweilera	sessilis	Lecythidaceae	
ESCH3	Eschweilera	sp.3	Lecythidaceae	
ESCH6	Eschweilera	sp.6	Lecythidaceae	
ESCH7	Eschweilera	sp.7	Lecythidaceae	
ESCH8	Eschweilera	sp.8	Lecythidaceae	
ESENPA	Esenbeckia	panamensis	Rutaceae	
EUGEAU	Eugenia	austin-smithii	Myrtaceae	
EUGECO	Eugenia	coloradoensis	Myrtaceae	
EUGECR	Eugenia	cricamolensis	Myrtaceae	
EUGEGA	Eugenia	galalonensis	Myrtaceae	
EUGESA	Eugenia	hiraeifolia	Myrtaceae	
EUGENE	Eugenia	nesiotica	Myrtaceae	
EUGEOC	Eugenia	octopleura	Myrtaceae	
EUGEOE	Eugenia	oerstediana	Myrtaceae	
EUGEPR	Eugenia	principium	Myrtaceae	
EUGE10	Eugenia	sp.10	Myrtaceae	
EUGE13	Eugenia	sp.13	Myrtaceae	
EUGE16	Eugenia	sp.16	Myrtaceae	
EUGE18	Eugenia	sp.18	Myrtaceae	
EUGE19	Eugenia	sp.19	Myrtaceae	
EUGE20	Eugenia	sp.20	Myrtaceae	
EUGE22	Eugenia	sp.22	Myrtaceae	
EUGE24	Eugenia	sp.24	Myrtaceae	
EUGE26	Eugenia	sp.26	Myrtaceae	
EUGE27	Eugenia	sp.27	Myrtaceae	
EUGE5	Eugenia	sp.5	Myrtaceae	
EUGE6	Eugenia	sp.6	Myrtaceae	
EUGE7	Eugenia	sp.7	Myrtaceae	
EUGE8	Eugenia	sp.8	Myrtaceae	
EUGE9	Eugenia	sp.9	Myrtaceae	
EUGEVE	Eugenia	venezuelensis	Myrtaceae	
EUPHEL	Euphorbia	elata	Euphorbiaceae	
EUTEPR	Euterpe	precatoria	Arecaceae	
EXOSME	Exostema	mexicanum	Rubiaceae	
FARA2	Faramea	'coba'	Rubiaceae	
FARAEU	Faramea	eurycarpa	Rubiaceae	
FARAJE	Faramea	jefensis	Rubiaceae	
FARALU	Faramea	luteovirens	Rubiaceae	
FARAMU	Faramea	multiflora	Rubiaceae	
FARAOC	Faramea	occidentalis	Rubiaceae	
FARAP2	Faramea	papillata	Rubiaceae	
FARAP1	Faramea	papirifolia	Rubiaceae	
FARAPA	Faramea	parvibractea	Rubiaceae	
FARA1	Faramea	sp.1	Rubiaceae	
FARASU	Faramea	suerrensis	Rubiaceae	
FERDPA	Ferdinandusa	panamensis	Rubiaceae	
FEVICO	Fevillea	cordifolia	Cucurbitaceae	l
FICUAM	Ficus	americana	Moraceae	
FICUP1	Ficus	apollinaris	Moraceae	
FICUBE	Ficus	benjamina	Moraceae	
FICUBR	Ficus	brevibracteata	Moraceae	
FICUBU	Ficus	bullenei	Moraceae	
FICUCI	Ficus	citrifolia	Moraceae	
FICUC1	Ficus	colubrinae	Moraceae	
FICUC2	Ficus	costaricana	Moraceae	
FICUIN	Ficus	insipida	Moraceae	
FICUMA	Ficus	maxima	Moraceae	
FICUNY	Ficus	nymphaeifolia	Moraceae	
FICUOB	Ficus	obtusifolia	Moraceae	
FICUPE	Ficus	pertusa	Moraceae	
FICUPO	Ficus	popenoei	Moraceae	
FICU10	Ficus	sp.10	Moraceae	
FICU11	Ficus	sp.11	Moraceae	
FICU12	Ficus	sp.12	Moraceae	
FICU13	Ficus	sp.13	Moraceae	
FICU3	Ficus	sp.3	Moraceae	
FICU4	Ficus	sp.4	Moraceae	
FICU5	Ficus	sp.5	Moraceae	
FICU6	Ficus	sp.6	Moraceae	
FICU8	Ficus	sp.8	Moraceae	
FICU9	Ficus	sp.9	Moraceae	
FICUTO	Ficus	tonduzii	Moraceae	
FICUTR	Ficus	trigonata	Moraceae	
FICUYO	Ficus	yoponensis	Moraceae	
FISCBL	Fischeria	blepharopetala	Asclepiadaceae	l
FISCFU	Fischeria	funebris	Asclepiadaceae	l
FISSFE	Fissicalyx	fendleri	Fabaceae:Papil.	
FLACJA	Flacourtia	jangomas	Flacourtiaceae	
FLEMST	Flemingia	strobilifera	Fabaceae:Papil.	
FORSMY	Forsteronia	myriantha	Apocynaceae	l
FORSPE	Forsteronia	peninsularis	Apocynaceae	l
FORSVI	Forsteronia	viridescens	Apocynaceae	l
FREZCA	Freziera	calophylla	Theaceae	
FUCHPA	Fuchsia	paniculata	Onagraceae	
FUSIMI	Fusispermum	minutiflorum	Violaceae	
GALIPA	Galipea	panamensis	Rutaceae	
GAR2IN	Garcinia	intermedia	Clusiaceae	
GAR2MA	Garcinia	madruno	Clusiaceae	
GAR2M1	Garcinia	magnifolia	Clusiaceae	
GAR21	Garcinia	sp.1	Clusiaceae	
GENIAM	Genipa	americana	Rubiaceae	
GEONCO	Geonoma	congesta	Arecaceae	
GEONCU	Geonoma	cuneata	Arecaceae	
GEONDE	Geonoma	deversa	Arecaceae	
GEONIN	Geonoma	interrupta	Arecaceae	
GLIRSE	Gliricidia	sepium	Fabaceae:Papil.	
GLOEBL	Gloeospermum	blakeanum	Violaceae	
GLOEEN	Gloeospermum	eneidense	Violaceae	
GLOESP	Gloeospermum	sphaerocarpum	Violaceae	
GMELAR	Gmelina	arborea	Verbenaceae	
GNETLE	Gnetum	leyboldii	Gnetaceae	l
GODMAE	Godmania	aesculifolia	Bignoniaceae	
GONZPA	Gonzalagunia	panamensis	Rubiaceae	
GONZRU	Gonzalagunia	rudis	Rubiaceae	
GONZ1	Gonzalagunia	sp.1	Rubiaceae	
GORDBR	Gordonia	brandegeei	Theaceae	
LAPLFR	Gordonia	fruticosa	Theaceae	
GOSSBA	Gossypium	barbadense	Malvaceae	
GOUAAD	Gouania	adenophera	Rhamnaceae	l
GOUACO	Gouania	colombiana	Rhamnaceae	l
GOUALU	Gouania	lupuloides	Rhamnaceae	l
GRAFGA	Graffenrieda	galeottii	Melastomataceae	
GRIACA	Grias	cauliflora	Lecythidaceae	
NYC1	Guapira	'campochagres'	Nyctaginaceae	
GUAPCO	Guapira	costaricana	Nyctaginaceae	
GUAPST	Guapira	standleyana	Nyctaginaceae	
GUAR9	Guarea	'arbusto'	Meliaceae	
GUAR2	Guarea	'sherman'	Meliaceae	
GUARSP	Guarea	bullata	Meliaceae	
GUARGL	Guarea	glabra	Meliaceae	
GUARGR	Guarea	grandifolia	Meliaceae	
GUARGU	Guarea	guidonia	Meliaceae	
GUARKU	Guarea	kunthiana	Meliaceae	
GUARMA	Guarea	macropetala	Meliaceae	
GUARM1	Guarea	macrophylla	Meliaceae	
GUARPT	Guarea	pterorhachis	Meliaceae	
GUARRH	Guarea	rhopalocarpa	Meliaceae	
GUAR1	Guarea	sp.1	Meliaceae	
GUAR4	Guarea	sp.4	Meliaceae	
GUAR6	Guarea	sp.6	Meliaceae	
GUAR8	Guarea	sp.8	Meliaceae	
GUARTE	Guarea	ternifoliola	Meliaceae	
GUATAB	Guatteria	aberrans	Annonaceae	
GUATA1	Guatteria	alata	Annonaceae	
GUATAL	Guatteria	allenii	Annonaceae	
GUATAM	Guatteria	amplifolia	Annonaceae	
GUATIN	Guatteria	diospyroides	Annonaceae	
GUATDO	Guatteria	dolichopoda	Annonaceae	
GUATDU	Guatteria	dumetorum	Annonaceae	
GUATJE	Guatteria	jefensis	Annonaceae	
GUATRE	Guatteria	recurvisepala	Annonaceae	
GUATSE	Guatteria	sessilicarpa	Annonaceae	
GUAT5	Guatteria	sp.5	Annonaceae	
GUAT7	Guatteria	sp.7	Annonaceae	
GUAZUL	Guazuma	ulmifolia	Sterculiaceae	
GUETCR	Guettarda	crispiflora	Rubiaceae	
GUETFO	Guettarda	foliacea	Rubiaceae	
GUETOD	Guettarda	odorata	Rubiaceae	
GUETRA	Guettarda	ramuliflora	Rubiaceae	
GURACO	Gurania	coccinea	Cucurbitaceae	l
GURAMA	Gurania	makoyana	Cucurbitaceae	l
GURATU	Gurania	tubulosa	Cucurbitaceae	l
GUSTDU	Gustavia	dubia	Lecythidaceae	
GUSTFO	Gustavia	fosteri	Lecythidaceae	
GUSTGR	Gustavia	grandibracteata	Lecythidaceae	
GUSTHE	Gustavia	hexapetala	Lecythidaceae	
GUSTNA	Gustavia	nana	Lecythidaceae	
GUST1	Gustavia	sp.1	Lecythidaceae	
GUSTSU	Gustavia	superba	Lecythidaceae	
GYRADA	Gyranthera	darienensis	Bombacaceae	
GYROAM	Gyrocarpus	americanus	Hernandiaceae	
HAMEAX	Hamelia	axillaris	Rubiaceae	
HAMEMA	Hamelia	macrantha	Rubiaceae	
HAMEPA	Hamelia	patens	Rubiaceae	
HAMESA	Hamelia	sanguinea	Rubiaceae	
HAMPAP	Hampea	appendiculata	Malvaceae	
HAMPMI	Hampea	micrantha	Malvaceae	
HASSFL	Hasseltia	floribunda	Flacourtiaceae	
HEDYBO	Hedyosmum	bonplandianum	Chloranthaceae	
HEDYCO	Hedyosmum	costaricense	Chloranthaceae	
HEDYME	Hedyosmum	mexicanum	Chloranthaceae	
HEDYSC	Hedyosmum	scaberrimum	Chloranthaceae	
HEISAC	Heisteria	acuminata	Olacaceae	
HEISCO	Heisteria	concinna	Olacaceae	
HEISC1	Heisteria	costaricensis	Olacaceae	
HEISMA	Heisteria	macrophylla	Olacaceae	
HEISSC	Heisteria	scandens	Olacaceae	
HEL1TO	Helicostylis	tovarensis	Moraceae	
HEL2GU	Helicteres	guazumifolia	Sterculiaceae	
HELIAM	Heliocarpus	americanus	Tiliaceae	
HELIAP	Heliocarpus	appendiculatus	Tiliaceae	
HENRSU	Henriettea	succosa	Melastomataceae	
HENRFA	Henriettella	fascicularis	Melastomataceae	
HENRTR	Henriettella	trachyphylla	Melastomataceae	
HENRTU	Henriettella	tuberculosa	Melastomataceae	
HERNDI	Hernandia	didymantha	Hernandiaceae	
HERNST	Hernandia	stenura	Hernandiaceae	
HERRNY	Herrania	nycterodendron	Sterculiaceae	
HERRPU	Herrania	purpurea	Sterculiaceae	
HET1VI	Heterocondylus	vitalbae	Asteraceae	l
HETELA	Heteropteris	laurifolia	Malpighiaceae	l
HETEPA	Heteropteris	panamense	Malpighiaceae	l
HEVEBR	Hevea	brasiliensis	Euphorbiaceae	
HYERAL	Hieronyma	alchorneoides	Euphorbiaceae	
HYEROB	Hieronyma	oblonga	Euphorbiaceae	
HIPPVO	Hippocratea	volubilis	Hippocrateaceae	l
HIPPMA	Hippomane	mancinella	Euphorbiaceae	
HIP1PA	Hippotis	panamensis	Rubiaceae	
HIRAF1	Hiraea	fagifolia	Malpighiaceae	l
HIRAFA	Hiraea	faginea	Malpighiaceae	l
HIRAGR	Hiraea	grandifolia	Malpighiaceae	l
HIRARE	Hiraea	reclinata	Malpighiaceae	l
HIRAQU	Hiraea	smilacina	Malpighiaceae	l
HIRTAM	Hirtella	americana	Chrysobalanaceae	
HIRTGU	Hirtella	guatemalensis	Chrysobalanaceae	
HIRTLA	Hirtella	latifolia	Chrysobalanaceae	
HIRTRA	Hirtella	racemosa	Chrysobalanaceae	
HIRT5	Hirtella	sp.5	Chrysobalanaceae	
HIRTTR	Hirtella	triandra	Chrysobalanaceae	
HIRTTU	Hirtella	tubiflora	Chrysobalanaceae	
HOMARA	Homalium	racemosum	Flacourtiaceae	
HORTCO	Hortia	colombiana	Rutaceae	
HUMIDI	Humiriastrum	diguense	Humiriaceae	
HURACR	Hura	crepitans	Euphorbiaceae	
HYBAAT	Hybanthus	attenuatus	Violaceae	
HYBADE	Hybanthus	denticulatus	Violaceae	
HYBAPR	Hybanthus	prunifolius	Violaceae	
HYLEPR	Hylenaea	praecelsa	Hippocrateaceae	l
HYMECO	Hymenaea	courbaril	Fabaceae:Caesal.	
HYMEPI	Hymenandra	pittieri	Myrsinaceae	
HYM1ME	Hymenolobium	mesoamericanum	Fabaceae:Papil.	
HYPETO	Hyperbaena	tonduzii	Menispermaceae	
ILEXGU	Ilex	guianensis	Aquifoliaceae	
INGAAC	Inga	acrocephala	Fabaceae:Mimos.	
INGAS1	Inga	acuminata	Fabaceae:Mimos.	
INGAST	Inga	aff.stenophylla	Fabaceae:Mimos.	
INGAAL	Inga	alba	Fabaceae:Mimos.	
INGABE	Inga	bella	Fabaceae:Mimos.	
INGACA	Inga	capitata	Fabaceae:Mimos.	
INGACH	Inga	chocoensis	Fabaceae:Mimos.	
INGACI	Inga	ciliata_ss:ciliata	Fabaceae:Mimos.	
INGAC1	Inga	ciliata_ss:subcapitata	Fabaceae:Mimos.	
INGACO	Inga	cocleensis	Fabaceae:Mimos.	
INGAC2	Inga	coruscans	Fabaceae:Mimos.	
INGADW	Inga	dwyeri	Fabaceae:Mimos.	
