sp4,sp6,family,genus,species,deciduous,oldname,climber,free,liana,vine,shrub,understory,midstory,tree,herb,epiphyte,hemiepiphyte,parasite
NA,SPACCO,Malpighiaceae,Spachea,correae,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
SPAM,SPACME,Malpighiaceae,Spachea,membranacea,E,NA,0,1,0,0,0,1,0,0,0,0,0,0
SPAP,NA,Araceae,Spathiphyllum,phryniifolium,?,NA,NA,NA,0,0,0,0,0,0,1,0,0,0
NA,SPATCA,Bignoniaceae,Spathodea,campanulata,E,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,SPERCO,Rubiaceae,Spermacoce,confusa,?,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SPIA,SPIGAN,Loganiaceae,Spigelia,anthelmia,?,NA,NA,NA,0,0,0,0,0,0,1,0,0,0
NA,SPONCY,Anacardiaceae,Spondias,dulcis,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
SPOM,SPONMO,Anacardiaceae,Spondias,mombin,DO,NA,0,1,0,0,0,0,0,1,0,0,0,0
SPOP,SPONPU,Anacardiaceae,Spondias,purpurea,DO,NA,0,1,0,0,0,0,0,1,0,0,0,0
SPOR,SPONRA,Anacardiaceae,Spondias,radlkoferi,DF,NA,0,1,0,0,0,0,0,1,0,0,0,0
NA,STACDI,Rubiaceae,Stachyarrhena,heterochroa,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,STAUPE,Rutaceae,Stauranthus,perforatus,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,STEMAL,Apocynaceae,Stemmadenia,alfari,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
STEG,STEMGR,Apocynaceae,Tabernaemontana,grandiflora,E,Stemmadenia-grandiflora,0,1,0,0,1,0,0,0,0,0,0,0
NA,STEMOB,Apocynaceae,Stemmadenia,obovata,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,STEM1,Apocynaceae,Stemmadenia,sp.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,STEM3,Apocynaceae,Stemmadenia,sp.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STEA,STERAP,Sterculiaceae,Sterculia,apetala,DF,NA,0,1,0,0,0,0,0,1,0,0,0,0
NA,STERGL,Sterculiaceae,Sterculia,costaricana-var.-glauca,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,STERRE,Sterculiaceae,Sterculia,recordiana,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,STER2,Sterculiaceae,Sterculia,sp.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STIE,STIGEL,Malpighiaceae,Stigmaphyllon,ellipticum,E,NA,1,0,1,0,0,0,0,0,0,0,0,0
STIH,STIGHY,Malpighiaceae,Stigmaphyllon,hypargyreum,E,NA,1,0,0,1,0,0,0,0,0,0,0,0
STIL,STIGLI,Malpighiaceae,Stigmaphyllon,lindenianum,E,NA,1,0,1,0,0,0,0,0,0,0,0,0
STIP,STIGPU,Malpighiaceae,Stigmaphyllon,puberum,E,NA,1,0,0,1,0,0,0,0,0,0,0,0
STII,STIZIN,Bignoniaceae,Stizophyllum,inaequilaterum,E,NA,1,0,0,1,0,0,0,0,0,0,0,0
STIR,STIZRI,Bignoniaceae,Stizophyllum,riparium,E,NA,1,0,1,0,0,0,0,0,0,0,0,0
STRS,NA,Poaceae,Streptochaeta,spicata,E,NA,NA,NA,0,0,0,0,0,0,1,0,0,0
STRJ,NA,Marantaceae,Stromanthe,jacquinii,E,NA,NA,NA,0,0,0,0,0,0,1,0,0,0
STRO,NA,Loranthaceae,Struthanthus,orbicularis,E,NA,NA,NA,0,0,0,0,0,0,0,0,0,1
STRB,STRYBR,Loganiaceae,Strychnos,brachistantha,E,NA,0,1,0,0,1,0,0,0,0,0,0,0
STRD,STRYDA,Loganiaceae,Strychnos,darienensis,E,NA,1,0,1,0,0,0,0,0,0,0,0,0
STRP,STRYPA,Loganiaceae,Strychnos,panamensis,E,NA,1,0,1,0,0,0,0,0,0,0,0,0
NA,STRY1,Loganiaceae,Strychnos,sp.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STRT,STRYTO,Loganiaceae,Strychnos,toxifera,E,NA,1,0,1,0,0,0,0,0,0,0,0,0
STYS,STYLST,Myrsinaceae,Stylogyne,turbacensis,E,Stylogyne-standleyi,0,1,0,0,0,1,0,0,0,0,0,0
NA,SWARSU,Fabaceae-Papilionoideae,Swartzia,aff.sumorum,E,NA,0,1,0,0,0,0,0,0,0,0,0,0
SWAP,SWARPA,Fabaceae-Papilionoideae,Swartzia,panamensis,?,NA,0,1,0,0,0,1,0,0,0,0,0,0
SWA1,SWARS1,Fabaceae-Papilionoideae,Swartzia,simplex_var.grandiflora,E,NA,0,1,0,0,0,1,0,0,0,0,0,0
SWA2,SWARS2,Fabaceae-Papilionoideae,Swartzia,simplex_var.ochnacea,DF,Swartzia-simplex-ochnacea,0,1,0,0,0,1,0,0,0,0,0,0
NA,SWIEMA,Meliaceae,Swietenia,macrophylla,DB,NA,0,1,0,0,0,0,0,0,0,0,0,0
SYMG,SYMPGL,Clusiaceae,Symphonia,globulifera,E,NA,0,1,0,0,0,0,0,1,0,0,0,0
NA,SYM1PA,Symplocaceae,Symplocos,panamensis,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
SYNW,SYNEWA,Arecaceae,Synechanthus,warscewiczianus,E,NA,0,1,0,0,0,1,0,0,0,0,0,0
SYNH,NA,Araceae,Syngonium,hoffmannii,E,NA,NA,NA,0,0,0,0,0,0,0,1,0,0
SYNP,NA,Araceae,Syngonium,podophyllum,E,NA,NA,NA,0,0,0,0,0,0,0,0,1,0
NA,SYZYJA,Myrtaceae,Syzygium,jambos,E,NA,0,1,0,0,0,0,0,0,0,0,0,0
SYZJ,NA,Myrtaceae,Syzygium,jambos,NA,NA,0,1,0,0,0,0,0,1,0,0,0,0
SYZM,SYZYMA,Myrtaceae,Syzygium,malaccense,E,NA,0,1,0,0,0,0,1,0,0,0,0,0
TABO,TAB1OC,Bignoniaceae,Tabebuia,ochracea,DO,NA,0,1,0,0,0,0,0,1,0,0,0,0
TABR,TAB1RO,Bignoniaceae,Tabebuia,rosea,DF,NA,0,1,0,0,0,0,0,1,0,0,0,0
NA,TAB1ST,Bignoniaceae,Tabebuia,striata,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
TABA,TAB2AR,Apocynaceae,Tabernaemontana,arborea,E,NA,0,1,0,0,0,0,0,1,0,0,0,0
NA,TAB2DI,Apocynaceae,Tabernaemontana,divaricata,E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,TAB2PE,Apocynaceae,Tabernaemontana,longipes,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,TAB2PA,Apocynaceae,Tabernaemontana,panamensis,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,TAB2UN,Apocynaceae,Tabernaemontana,undulata,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
TACV,TACHVE,Fabaceae-Caesalpinioideae,Tachigali,panamensis,E,Tachigali-versicolor,0,1,0,0,0,0,0,1,0,0,0,0
NA,TALAGL,Magnoliaceae,Talauma,gloriensis,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,TALASA,Magnoliaceae,Talauma,sambuensis,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,HIBIPE,Malvaceae,Talipariti,tiliaceum_var.pernambucens,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
TALP,TALIPR,Sapindaceae,Talisia,croatii,E,NA,0,1,0,0,0,1,0,0,0,0,0,0
TALN,TALINE,Sapindaceae,Talisia,nervosa,E,NA,0,1,0,0,0,1,0,0,0,0,0,0
NA,TAMAIN,Fabaceae-Caesalpinioideae,Tamarindus,indica,E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TAPG,TAPIGU,Anacardiaceae,Tapirira,guianensis,DB,NA,0,1,0,0,0,0,0,1,0,0,0,0
NA,TAPUCU,Dichapetalaceae,Tapura,cubensis,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
CYNR,CYNARE,Asclepiadaceae,Tassadia,obovata,E,Cynanchum-recurvum,1,0,1,0,0,0,0,0,0,0,0,0
TASO,NA,Asclepiadaceae,Tassadia,obovata,?,NA,1,0,0,1,0,0,0,0,0,0,0,0
NA,TECOST,Bignoniaceae,Tecoma,stans,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,TECTGR,Verbenaceae,Tectona,grandis,DB,NA,0,1,0,0,0,0,0,0,0,0,0,0
TERA,TERMAM,Combretaceae,Terminalia,amazonia,DB,NA,0,1,0,0,0,0,0,1,0,0,0,0
NA,TERMBU,Combretaceae,Terminalia,bucidoides,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,TERMCA,Combretaceae,Terminalia,catappa,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
TERL,NA,Combretaceae,Terminalia,lucida,?,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
NA,TERMMY,Combretaceae,Terminalia,myriocarpa,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
TERO,TERMOB,Combretaceae,Terminalia,oblonga,DB,Terminalia-chiriquensis,0,1,0,0,0,1,0,0,0,0,0,0
NA,TERM1,Combretaceae,Terminalia,sp.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,TERM2,Combretaceae,Terminalia,sp.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TERT,TERNTE,Theaceae,Ternstroemia,tepezapote,E,NA,0,1,0,0,0,0,0,1,0,0,0,0
NA,TESSGO,Melastomataceae,Tessmannianthus,gordonii,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TETH,TET1HY,Dilleniaceae,Tetracera,hydrophila,E,NA,1,0,1,0,0,0,0,0,0,0,0,0
TET1,TET1PO,Dilleniaceae,Tetracera,portobellensis,E,NA,1,0,1,0,0,0,0,0,0,0,0,0
TETV,TET1VO,Dilleniaceae,Tetracera,volubilis,E,NA,1,0,1,0,0,0,0,0,0,0,0,0
TET2,TET2PA,Burseraceae,Protium,stevensonii,E,Tetragastris-panamensis,0,1,0,0,0,0,0,1,0,0,0,0
TETD,TET3DI,Malpighiaceae,Tetrapterys,discolor,E,NA,1,0,1,0,0,0,0,0,0,0,0,0
NA,TET3GO,Malpighiaceae,Tetrapterys,goudotiana,E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TETS,TET3SE,Malpighiaceae,Tetrapterys,seemannii,E,NA,1,0,1,0,0,0,0,0,0,0,0,0
NA,TET31,Malpighiaceae,Tetrapterys,sp.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TETM,TET3MA,Malpighiaceae,Tetrapterys,tinifolia,?,Tetrapterys-macrocarpa,1,0,1,0,0,0,0,0,0,0,0,0
TETJ,TET4JO,Flacourtiaceae,Tetrathylacium,johansenii,E,NA,0,1,0,0,0,0,0,1,0,0,0,0
NA,TET4MA,Flacourtiaceae,Tetrathylacium,macrophyllum,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,TET5EU,Euphorbiaceae,Tetrorchidium,euryphyllum,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
TETG,TET5GO,Euphorbiaceae,Tetrorchidium,gorgonae,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
THEB,THEOBE,Sterculiaceae,Theobroma,bernoullii,E,NA,0,1,0,0,0,1,0,0,0,0,0,0
NA,THEOBI,Sterculiaceae,Theobroma,bicolor,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
THEC,THEOCA,Sterculiaceae,Theobroma,cacao,E,NA,0,1,0,0,0,1,0,0,0,0,0,0
NA,THEOMA,Sterculiaceae,Theobroma,mammosum,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,THEOCH,Sterculiaceae,Theobroma,simiarum,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,THEOSP,Sterculiaceae,Theobroma,speciosum,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,THESPO,Malvaceae,Thespesia,populnea,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
THEA,THEVAH,Apocynaceae,Thevetia,ahouai,E,NA,0,1,0,0,1,0,0,0,0,0,0,0
THIM,THINMY,Sapindaceae,Thinouia,myriantha,E,NA,1,0,1,0,0,0,0,0,0,0,0,0
NA,TIBOBI,Melastomataceae,Tibouchina,bipenicillata,E,NA,0,1,0,0,0,0,0,0,0,0,0,0
WULB,WULFBA,Asteraceae,Tilesia,baccata,E,Wulffia-baccata,1,0,0,1,0,0,0,0,0,0,0,0
TILA,NA,Bromeliaceae,Tillandsia,anceps,E,NA,NA,NA,0,0,0,0,0,0,0,1,0,0
TILB,NA,Bromeliaceae,Tillandsia,bulbosa,E,NA,NA,NA,0,0,0,0,0,0,0,1,0,0
TILF,NA,Bromeliaceae,Tillandsia,fasciculata,E,NA,NA,NA,0,0,0,0,0,0,0,1,0,0
TILM,NA,Bromeliaceae,Tillandsia,monadelpha,E,NA,NA,NA,0,0,0,0,0,0,0,1,0,0
NA,TOC1AC,Melastomataceae,Tococa,acuminata,?,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
NA,TOC1GU,Melastomataceae,Tococa,guianensis,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOCP,TOCOPI,Rubiaceae,Tocoyena,pittieri,E,NA,0,1,0,0,0,1,0,0,0,0,0,0
TONO,TONTOV,Hippocrateaceae,Tontelea,ovalifolia_subsp._richardii,E,Tontelea-richardii,1,0,1,0,0,0,0,0,0,0,0,0
TOPP,NA,Melastomataceae,Topobea,parasitica,E,Topobaea-praecox,NA,NA,0,0,0,0,0,0,0,0,1,0
TOUA,NA,Boraginaceae,Tournefortia,angustiflora,E,NA,0,1,0,0,1,0,0,0,0,0,0,0
TOUB,TOURBI,Boraginaceae,Tournefortia,bicolor,E,NA,1,0,1,0,0,0,0,0,0,0,0,0
TOUC,TOURCU,Boraginaceae,Tournefortia,cuspidata,E,NA,1,0,0,1,0,0,0,0,0,0,0,0
TOUH,TOURHI,Boraginaceae,Tournefortia,hirsutissima,E,NA,1,0,0,1,0,0,0,0,0,0,0,0
TOVL,TOVOLO,Clusiaceae,Tovomita,longifolia,E,NA,0,1,0,0,0,1,0,0,0,0,0,0
NA,TOVO1,Clusiaceae,Tovomita,sp.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOVS,TOVOST,Clusiaceae,Tovomita,stylosa,E,NA,0,1,0,0,1,0,0,0,0,0,0,0
NA,TOVOWE,Clusiaceae,Tovomita,weddelliana,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
TRAA,TRATAS,Burseraceae,Trattinnickia,aspera,DO,NA,0,1,0,0,0,0,0,1,0,0,0,0
NA,TRATBU,Burseraceae,Trattinnickia,burserifolia,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,TREMIN,Ulmaceae,Trema,integerrima,E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TREM,TREMMI,Ulmaceae,Trema,micrantha,E,NA,0,1,0,0,0,0,1,0,0,0,0,0
TRIG,TRI1GI,Acanthaceae,Trichanthera,gigantea,E,NA,0,1,0,0,0,1,0,0,0,0,0,0
TRIH,TRI2HI,Meliaceae,Trichilia,hirta,E,NA,0,1,0,0,0,1,0,0,0,0,0,0
NA,TRI2TO,Meliaceae,Trichilia,martiana,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
TRI1,TRI2PA,Meliaceae,Trichilia,pallida,E,NA,0,1,0,0,0,0,1,0,0,0,0,0
TRI2,TRI2PL,Meliaceae,Trichilia,pleeana,E,Trichilia-verrucosa,0,1,0,0,0,0,1,0,0,0,0,0
NA,TRI2PO,Meliaceae,Trichilia,poeppigii,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,TRI2QU,Meliaceae,Trichilia,quadrijuga,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,TRI2SE,Meliaceae,Trichilia,septentrionalis,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,TRI21,Meliaceae,Trichilia,sp.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,TRI22,Meliaceae,Trichilia,sp.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,TRI2TR,Meliaceae,Trichilia,trifolia,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
TRI3,TRI2TU,Meliaceae,Trichilia,tuberculata,E,Trichila-cipo,0,1,0,0,0,0,0,1,0,0,0,0
ONCS,NA,Orchidaceae,Trichocentrum,nudum,E,NA,NA,NA,0,0,0,0,0,0,0,1,0,0
TRI6,TRI4GA,Tiliaceae,Trichospermum,galeottii,DF,NA,0,1,0,0,0,0,1,0,0,0,0,0
TRIO,TRI5OC,Phytolaccaceae,Trichostigma,octandrum,E,NA,1,0,1,0,0,0,0,0,0,0,0,0
TRIF,TRIGRU,Trigoniaceae,Trigonia,rugosa,?,Trigonia-floribunda,1,0,1,0,0,0,0,0,0,0,0,0
TRIC,TRIPCU,Polygonaceae,Triplaris,cumingiana,E,NA,0,1,0,0,0,0,1,0,0,0,0,0
NA,TRIUBO,Tiliaceae,Triumfetta,bogotensis,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,TRIULA,Tiliaceae,Triumfetta,lappula,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OLMA,OLMEAS,Moraceae,Trophis,caucana,E,Olmedia-aspera,0,1,0,0,0,1,0,0,0,0,0,0
TROR,TROPRA,Moraceae,Trophis,racemosa,E,NA,0,1,0,0,0,0,1,0,0,0,0,0
TURP,TURNPA,Turneraceae,Turnera,panamensis,E,NA,0,1,0,0,1,0,0,0,0,0,0,0
TURO,TURPOC,Staphyleaceae,Staphylea,occidentalis,E,Turpinia-occidentalis,0,1,0,0,0,1,0,0,0,0,0,0
TYNC,TYNNCR,Bignoniaceae,Tynnanthus,croatianus,E,Tynnanthus-croatianus,1,0,1,0,0,0,0,0,0,0,0,0
NA,ULMUME,Ulmaceae,Ulmus,mexicana,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNCT,UNCATO,Rubiaceae,Uncaria,tomentosa,E,NA,1,0,1,0,0,0,0,0,0,0,0,0
NA,UN2_CO,Unidentified,Unidentified,(howard)sp.2,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
NA,UN2_SH,Unidentified,Unidentified,(sherman),NA,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,UN1M39,Unidentified,Unidentified,monitoreo_39,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,UN1M40,Unidentified,Unidentified,monitoreo_40,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,UN1M41,Unidentified,Unidentified,monitoreo_41_1,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,UN1_M9,Unidentified,Unidentified,monitoreo_9,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,UNIDEN,Unidentified,Unidentified,species,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,UNONBU,Annonaceae,Unonopsis,bullata,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNO2,UNONPA,Annonaceae,Unonopsis,panamensis,E,NA,0,1,0,0,0,1,0,0,0,0,0,0
NA,UNON3,Annonaceae,Unonopsis,peludo,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0
UNOP,UNONPI,Annonaceae,Unonopsis,pittieri,E,NA,0,1,0,0,0,0,1,0,0,0,0,0
NA,UNON1,Annonaceae,Unonopsis,sp.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,UNON2,Annonaceae,Unonopsis,sp.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,UNONTH,Annonaceae,Unonopsis,theobromifolia,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,UNONVE,Annonaceae,Unonopsis,veneficiorum,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
URLO,URENLO,Malvaceae,Urena,lobata,?,NA,0,1,0,0,1,0,0,0,0,0,0,0
UREB,URERBA,Urticaceae,Urera,baccifera,E,NA,0,1,0,0,1,0,0,0,0,0,0,0
UREC,URERCA,Urticaceae,Urera,caracasana,E,NA,0,1,0,0,0,0,0,0,0,0,0,0
UREE,UREREG,Urticaceae,Urera,eggersii,E,NA,1,0,1,0,0,0,0,0,0,0,0,0
NA,UREREL,Urticaceae,Urera,elata,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,URERLA,Urticaceae,Urera,laciniata,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,URERLI,Urticaceae,Urera,lianoides,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VAND,VANTDE,Humiriaceae,Vantanea,depleta,E,Vantanea-occidentalis,0,1,0,0,0,0,0,1,0,0,0,0
CARC,CARICA,Caricaceae,Vasconcellea,cauliflora,E,Carica-cauliflora,0,1,0,0,0,1,0,0,0,0,0,0
VATE,VATAER,Fabaceae-Papilionoideae,Vatairea,erythrocarpa,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
VERG,VERBGI,Asteraceae,Verbesina,gigantea,E,NA,0,1,0,0,1,0,0,0,0,0,0,0
NA,VERBLA,Asteraceae,Verbesina,lanata,E,NA,0,1,0,0,0,0,0,0,0,0,0,0
VERP,VERNPA,Asteraceae,Vernonanthura,patens,E,Vernonia-patens,0,1,0,0,1,0,0,0,0,0,0,0
NA,VIBUCO,Caprifoliaceae,Viburnum,costaricanum,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHA1,NA,Fabaceae-Papilionoideae,Vigna,peduncularis,E,Phaseolus-peduncularis,1,0,0,1,0,0,0,0,0,0,0,0
VIGV,NA,Fabaceae-Papilionoideae,Vigna,vexillata,E,NA,1,0,0,1,0,0,0,0,0,0,0,0
VIRE,VIROEL,Myristicaceae,Virola,elongata,E,NA,0,1,0,0,0,0,1,0,0,0,0,0
NA,VIROGU,Myristicaceae,Virola,guatemalensis,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,VIROKO,Myristicaceae,Virola,koschnyi,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,VIROMA,Myristicaceae,Virola,macrocarpa,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,VIROME,Myristicaceae,Virola,megacarpa,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
VIR3,VIROSP,Myristicaceae,Virola,multiflora,E,Virola-bozo,0,1,0,0,0,0,1,0,0,0,0,0
VIR1,VIROSE,Myristicaceae,Virola,sebifera,E,NA,0,1,0,0,0,0,0,1,0,0,0,0
NA,VIRO1,Myristicaceae,Virola,sp.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,VIRO2,Myristicaceae,Virola,sp.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VIR2,VIROSU,Myristicaceae,Virola,nobilis,E,Virola-surinamensis,0,1,0,0,0,0,0,1,0,0,0,0
VIS1,VISMBA,Clusiaceae,Vismia,baccifera,E,NA,0,1,0,0,1,0,0,0,0,0,0,0
VIS2,VISMBI,Clusiaceae,Vismia,billbergiana,E,NA,0,1,0,0,1,0,0,0,0,0,0,0
NA,VISMJE,Clusiaceae,Vismia,jefensis,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
VISM,VISMMA,Clusiaceae,Vismia,macrophylla,E,NA,0,1,0,0,0,1,0,0,0,0,0,0
VITC,VITECO,Verbenaceae,Vitex,cooperi,E,NA,0,1,0,0,0,0,0,1,0,0,0,0
NA,VITECY,Verbenaceae,Vitex,cymosa,E,NA,0,1,0,0,0,0,0,0,0,0,0,0
VITT,VITITI,Vitaceae,Vitis,tiliifolia,E,NA,1,0,1,0,0,0,0,0,0,0,0,0
VOCF,VOCHFE,Vochysiaceae,Vochysia,ferruginea,E,NA,0,1,0,0,0,0,0,1,0,0,0,0
NA,VOCHHO,Vochysiaceae,Vochysia,guatemalensis,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,VOCHJE,Vochysiaceae,Vochysia,jefensis,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,VOCH1,Vochysiaceae,Vochysia,sp.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VOYT,NA,Gentianaceae,Voyria,tenella,?,NA,NA,NA,0,0,0,0,0,0,1,0,0,0
NA,WALTGL,Sterculiaceae,Waltheria,glomerata,E,NA,0,1,0,0,0,0,0,0,0,0,0,0
WARC,WARSCO,Rubiaceae,Warszewiczia,coccinea,E,NA,0,1,0,0,0,1,0,0,0,0,0,0
WELR,WELFRE,Arecaceae,Welfia,regia,E,NA,0,1,0,0,0,0,0,0,0,0,0,0
VRIS,NA,Bromeliaceae,Werauhia,sanguinolenta,E,Vriesea-sanguinolenta,NA,NA,0,0,0,0,0,0,0,1,0,0
NA,WERCCO,Malvaceae,Wercklea,cocleana,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,WERCIN,Malvaceae,Wercklea,insignis,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,WERCWO,Malvaceae,Wercklea,woodsonii,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,WETTHI,Arecaceae,Wettinia,quinaria,E,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,WITHSO,Solanaceae,Witheringia,solanacea,E,NA,0,1,0,0,0,0,0,0,0,0,0,0
XANM,NA,Araceae,Xanthosoma,mexicanum,E,NA,NA,NA,0,0,0,0,0,0,1,0,0,0
NA,XIMEAM,Olacaceae,Ximenia,americana,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,XYL3SE,Bignoniaceae,Xylophragma,seemannianum,E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
XYLA,XYL1AR,Annonaceae,Xylopia,aromatica,E,NA,0,1,0,0,0,0,1,0,0,0,0,0
NA,XYL1BO,Annonaceae,Xylopia,bocatorena,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
XYLF,XYL1FR,Annonaceae,Xylopia,frutescens,E,NA,0,1,0,0,0,0,1,0,0,0,0,0
XYLM,XYL1MA,Annonaceae,Xylopia,macrantha,E,NA,0,1,0,0,0,0,1,0,0,0,0,0
NA,XYL14,Annonaceae,Xylopia,roubik,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,XYL1SE,Annonaceae,Xylopia,sericea,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
XYLC,XYL2CH,Flacourtiaceae,Xylosma,chlorantha,DF,Xylosma-chloranthum,0,1,0,0,1,0,0,0,0,0,0,0
XYLO,XYL2OL,Flacourtiaceae,Xylosma,oligandra,E,NA,0,1,0,0,0,1,0,0,0,0,0,0
NA,XYL2PA,Flacourtiaceae,Xylosma,panamensis,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
